year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,5
1915,0,0
1916,0,7
1917,0,0
1918,0,10
1919,0,0
1920,0,10
1921,0,5
1922,0,6
1923,0,9
1924,0,9
1925,0,6
1926,0,0
1927,0,8
1928,0,9
1929,0,9
1930,0,5
1931,0,5
1932,0,0
1933,0,7
1934,0,9
1935,0,10
1936,0,0
1937,0,8
1938,5,9
1939,5,10
1940,0,9
1941,0,9
1942,7,13
1943,9,9
1944,9,14
1945,5,10
1946,9,12
1947,12,15
1948,30,23
1949,34,21
1950,26,25
1951,25,21
1952,25,17
1953,28,24
1954,12,11
1955,31,15
1956,31,18
1957,25,30
1958,29,14
1959,24,17
1960,14,15
1961,26,18
1962,26,21
1963,25,17
1964,19,18
1965,17,16
1966,29,17
1967,21,12
1968,22,12
1969,21,15
1970,19,17
1971,32,32
1972,21,14
1973,20,20
1974,17,8
1975,29,21
1976,26,17
1977,35,19
1978,22,8
1979,28,17
1980,17,8
1981,27,9
1982,45,9
1983,689,10
1984,1470,15
1985,2039,21
1986,3323,23
1987,3140,25
1988,2365,19
1989,1971,16
1990,1782,14
1991,1804,10
1992,1758,15
1993,1600,11
1994,1605,0
1995,1695,11
1996,1629,7
1997,1589,6
1998,1525,11
1999,1483,6
2000,1466,6
2001,1336,0
2002,1259,6
2003,1429,0
2004,1828,13
2005,1585,0
2006,1470,0
2007,1405,6
2008,1353,0
2009,1210,0
2010,1173,0
2011,1098,0
2012,959,0
2013,989,0
2014,850,0
2015,837,0
2016,738,0
2017,560,0
2018,561,0
2019,546,0
