year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,6,0
1890,0,0
1891,0,0
1892,6,0
1893,0,0
1894,10,0
1895,8,0
1896,7,0
1897,11,0
1898,11,0
1899,8,0
1900,12,0
1901,12,0
1902,13,0
1903,10,0
1904,12,0
1905,12,0
1906,22,0
1907,16,0
1908,23,0
1909,20,0
1910,14,0
1911,23,0
1912,38,0
1913,40,0
1914,49,0
1915,73,0
1916,67,0
1917,90,0
1918,93,0
1919,63,0
1920,94,0
1921,83,0
1922,98,0
1923,74,0
1924,101,0
1925,68,0
1926,76,0
1927,73,0
1928,56,0
1929,61,0
1930,72,0
1931,53,0
1932,63,0
1933,52,0
1934,60,0
1935,65,0
1936,59,0
1937,77,0
1938,101,0
1939,99,0
1940,85,0
1941,114,0
1942,80,0
1943,102,0
1944,77,0
1945,91,0
1946,93,0
1947,84,0
1948,48,0
1949,46,0
1950,33,0
1951,33,0
1952,27,0
1953,44,0
1954,30,0
1955,37,0
1956,34,0
1957,50,0
1958,61,0
1959,57,0
1960,59,0
1961,55,0
1962,59,0
1963,31,0
1964,18,0
1965,21,0
1966,6,0
1967,14,0
1968,12,0
1969,8,0
1970,8,0
1971,9,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,5,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
