year,F,M
1880,31,0
1881,32,0
1882,21,0
1883,31,0
1884,37,0
1885,49,0
1886,49,0
1887,58,0
1888,69,0
1889,79,0
1890,78,0
1891,67,0
1892,91,0
1893,106,0
1894,110,0
1895,98,0
1896,130,0
1897,114,0
1898,123,0
1899,117,0
1900,206,0
1901,165,0
1902,187,0
1903,199,0
1904,199,0
1905,190,0
1906,194,0
1907,228,0
1908,243,0
1909,286,0
1910,305,0
1911,271,0
1912,356,0
1913,423,0
1914,588,0
1915,740,0
1916,915,0
1917,951,5
1918,1064,0
1919,1158,5
1920,1353,0
1921,2697,6
1922,2854,11
1923,2724,14
1924,2831,15
1925,2868,14
1926,2714,11
1927,2681,13
1928,2437,13
1929,2337,14
1930,2241,15
1931,2206,23
1932,2424,16
1933,2408,8
1934,2372,12
1935,2369,9
1936,2341,13
1937,2286,18
1938,2426,21
1939,2266,14
1940,2266,16
1941,2150,10
1942,2195,12
1943,2148,9
1944,2005,7
1945,1764,5
1946,1946,12
1947,2169,12
1948,1927,6
1949,1690,5
1950,1470,0
1951,1461,0
1952,1410,0
1953,1451,5
1954,1488,0
1955,1279,0
1956,1270,0
1957,1287,9
1958,1290,0
1959,1266,6
1960,1175,5
1961,1143,6
1962,1346,8
1963,1041,0
1964,883,0
1965,695,0
1966,552,0
1967,491,0
1968,425,0
1969,409,0
1970,393,0
1971,378,0
1972,284,0
1973,246,0
1974,237,0
1975,202,0
1976,173,0
1977,165,0
1978,182,0
1979,183,0
1980,167,0
1981,148,0
1982,158,0
1983,121,0
1984,104,0
1985,102,0
1986,92,0
1987,101,0
1988,92,0
1989,76,0
1990,89,0
1991,87,0
1992,72,0
1993,66,0
1994,56,0
1995,35,0
1996,35,0
1997,31,0
1998,42,0
1999,32,0
2000,40,0
2001,23,0
2002,35,0
2003,29,0
2004,23,0
2005,30,0
2006,33,0
2007,29,0
2008,25,0
2009,20,0
2010,22,0
2011,14,0
2012,17,0
2013,15,0
2014,9,0
2015,19,0
2016,14,0
2017,12,0
2018,16,0
2019,21,0
