year,Girls,Boys
1880,125,0
1881,120,0
1882,121,0
1883,141,0
1884,190,0
1885,175,0
1886,180,0
1887,203,0
1888,239,0
1889,238,0
1890,247,0
1891,248,0
1892,301,0
1893,255,0
1894,309,0
1895,295,0
1896,312,0
1897,304,0
1898,329,0
1899,266,0
1900,389,0
1901,350,0
1902,331,0
1903,379,0
1904,393,0
1905,430,0
1906,388,0
1907,490,0
1908,480,0
1909,544,0
1910,621,0
1911,646,7
1912,828,7
1913,909,9
1914,1117,8
1915,1286,16
1916,1261,15
1917,1441,10
1918,1544,7
1919,1678,20
1920,1935,22
1921,2028,29
1922,1929,25
1923,1999,21
1924,2292,25
1925,2360,33
1926,2351,26
1927,2592,50
1928,2564,38
1929,2536,42
1930,2541,55
1931,2186,37
1932,2043,31
1933,1861,30
1934,1991,25
1935,1994,42
1936,1980,29
1937,1953,25
1938,2011,35
1939,2077,39
1940,2134,34
1941,2468,30
1942,2816,35
1943,2864,25
1944,3361,17
1945,3313,29
1946,3962,26
1947,4709,29
1948,4815,36
1949,5120,44
1950,5077,25
1951,5235,26
1952,5697,31
1953,5988,40
1954,6590,36
1955,6205,43
1956,6733,25
1957,6780,42
1958,6897,32
1959,7245,50
1960,7531,41
1961,7940,38
1962,9089,41
1963,9838,35
1964,10147,49
1965,9475,43
1966,9123,55
1967,8871,55
1968,8380,45
1969,8388,67
1970,8676,62
1971,8123,54
1972,7709,59
1973,7657,64
1974,7794,60
1975,7528,78
1976,7345,59
1977,7090,57
1978,7012,65
1979,7329,86
1980,7864,74
1981,7676,92
1982,7342,116
1983,6847,72
1984,6130,86
1985,6013,94
1986,6133,96
1987,5673,97
1988,5708,100
1989,6340,111
1990,7184,103
1991,7135,93
1992,7085,59
1993,6973,65
1994,6752,41
1995,6999,47
1996,7594,35
1997,7312,37
1998,6816,24
1999,7030,30
2000,6854,16
2001,6841,15
2002,6384,25
2003,6089,19
2004,5754,29
2005,5596,26
2006,5600,13
2007,5125,14
2008,4588,13
2009,4136,14
2010,3419,13
2011,3218,7
2012,3031,6
2013,2818,5
2014,2771,6
2015,2826,6
2016,2807,7
2017,2710,5
2018,2610,0
2019,2700,8
