year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,6,0
1913,0,0
1914,0,0
1915,12,0
1916,10,0
1917,14,0
1918,13,0
1919,17,0
1920,17,0
1921,28,0
1922,24,0
1923,34,0
1924,53,0
1925,47,0
1926,45,0
1927,54,0
1928,58,0
1929,49,0
1930,80,0
1931,72,0
1932,65,0
1933,50,0
1934,77,0
1935,75,0
1936,88,0
1937,146,0
1938,128,0
1939,105,0
1940,127,0
1941,114,0
1942,192,0
1943,188,0
1944,155,0
1945,155,0
1946,171,0
1947,221,0
1948,190,0
1949,171,0
1950,145,0
1951,157,0
1952,201,0
1953,208,0
1954,210,0
1955,214,0
1956,156,0
1957,196,0
1958,180,0
1959,151,0
1960,165,0
1961,165,0
1962,128,0
1963,145,0
1964,127,0
1965,90,0
1966,83,0
1967,74,0
1968,56,0
1969,62,0
1970,76,0
1971,59,0
1972,46,0
1973,43,0
1974,42,0
1975,43,0
1976,40,0
1977,36,0
1978,38,0
1979,36,0
1980,35,0
1981,41,0
1982,39,0
1983,40,0
1984,38,0
1985,42,0
1986,38,0
1987,39,0
1988,36,0
1989,32,0
1990,28,0
1991,18,0
1992,40,0
1993,24,0
1994,23,0
1995,14,0
1996,25,0
1997,22,0
1998,19,0
1999,15,0
2000,14,0
2001,19,0
2002,23,0
2003,22,0
2004,19,0
2005,16,0
2006,19,0
2007,25,0
2008,17,0
2009,17,0
2010,9,0
2011,14,0
2012,14,0
2013,13,0
2014,14,0
2015,20,0
2016,16,0
2017,14,0
2018,12,0
2019,17,0
