year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,10,0
1916,8,0
1917,8,0
1918,16,0
1919,22,0
1920,10,0
1921,11,0
1922,16,0
1923,19,0
1924,31,0
1925,29,0
1926,46,0
1927,81,0
1928,70,0
1929,63,0
1930,80,0
1931,50,0
1932,66,0
1933,73,0
1934,75,0
1935,61,0
1936,50,0
1937,66,0
1938,55,0
1939,42,0
1940,61,0
1941,60,0
1942,72,0
1943,60,0
1944,77,0
1945,74,0
1946,69,0
1947,79,0
1948,90,0
1949,87,0
1950,79,0
1951,79,0
1952,85,0
1953,81,0
1954,74,0
1955,60,0
1956,65,0
1957,66,0
1958,64,0
1959,44,0
1960,58,0
1961,46,0
1962,35,0
1963,36,0
1964,29,0
1965,26,0
1966,16,0
1967,14,0
1968,21,0
1969,14,0
1970,24,0
1971,19,0
1972,12,0
1973,15,0
1974,8,0
1975,17,0
1976,11,0
1977,11,0
1978,11,0
1979,15,0
1980,14,0
1981,15,0
1982,0,0
1983,16,0
1984,7,0
1985,18,0
1986,7,0
1987,8,0
1988,11,0
1989,10,0
1990,17,0
1991,12,0
1992,8,0
1993,0,0
1994,6,0
1995,8,0
1996,14,0
1997,5,0
1998,6,0
1999,5,0
2000,8,0
2001,7,0
2002,10,0
2003,0,0
2004,8,0
2005,0,0
2006,0,0
2007,6,0
2008,8,0
2009,0,0
2010,0,0
2011,5,0
2012,6,0
2013,8,0
2014,0,0
2015,0,0
2016,5,0
2017,5,0
2018,9,0
2019,5,0
