year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,5,0
1900,12,0
1901,6,0
1902,0,0
1903,11,0
1904,6,0
1905,10,0
1906,24,0
1907,17,0
1908,25,0
1909,21,0
1910,18,0
1911,31,0
1912,56,0
1913,58,0
1914,75,0
1915,109,0
1916,146,0
1917,164,0
1918,245,0
1919,404,0
1920,522,0
1921,696,0
1922,1698,5
1923,2287,0
1924,2860,5
1925,3420,0
1926,4370,10
1927,5554,21
1928,6066,20
1929,6728,32
1930,9288,29
1931,9666,31
1932,10569,38
1933,9125,24
1934,9383,38
1935,10416,33
1936,11065,38
1937,9738,45
1938,9745,36
1939,9539,32
1940,8700,41
1941,8557,32
1942,9907,32
1943,10144,30
1944,9737,22
1945,9534,17
1946,10711,21
1947,11880,24
1948,9936,16
1949,9865,14
1950,9286,15
1951,9147,20
1952,9802,12
1953,10741,22
1954,10814,16
1955,8407,19
1956,6927,25
1957,5740,9
1958,4945,15
1959,4347,14
1960,4069,9
1961,3796,16
1962,3607,13
1963,3316,12
1964,2791,7
1965,2490,13
1966,1995,6
1967,1960,11
1968,1577,7
1969,1397,9
1970,1257,6
1971,1215,7
1972,859,10
1973,771,12
1974,724,6
1975,651,6
1976,648,0
1977,609,0
1978,634,6
1979,559,9
1980,580,0
1981,579,0
1982,582,0
1983,612,0
1984,509,8
1985,522,6
1986,488,5
1987,532,0
1988,547,5
1989,628,8
1990,582,0
1991,584,0
1992,680,0
1993,599,5
1994,553,0
1995,576,5
1996,611,0
1997,567,6
1998,517,0
1999,481,0
2000,521,0
2001,553,0
2002,506,0
2003,514,0
2004,497,0
2005,512,0
2006,598,0
2007,598,0
2008,545,0
2009,520,0
2010,535,0
2011,532,0
2012,742,0
2013,837,0
2014,797,0
2015,748,0
2016,633,0
2017,584,0
2018,497,0
2019,462,0
