year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,7
1916,0,0
1917,0,8
1918,0,0
1919,0,10
1920,0,9
1921,0,0
1922,0,8
1923,0,10
1924,0,13
1925,0,10
1926,0,11
1927,0,10
1928,0,14
1929,0,17
1930,0,13
1931,8,12
1932,0,15
1933,0,17
1934,7,19
1935,7,28
1936,0,17
1937,0,18
1938,8,18
1939,6,15
1940,0,13
1941,8,16
1942,11,14
1943,14,16
1944,8,11
1945,8,11
1946,14,9
1947,13,12
1948,17,15
1949,12,13
1950,6,16
1951,14,26
1952,14,33
1953,9,22
1954,20,31
1955,9,29
1956,14,25
1957,13,20
1958,6,27
1959,8,24
1960,8,28
1961,14,26
1962,30,22
1963,16,20
1964,22,20
1965,16,25
1966,101,27
1967,353,28
1968,545,28
1969,498,36
1970,593,42
1971,480,48
1972,324,84
1973,251,78
1974,207,69
1975,191,52
1976,167,82
1977,137,65
1978,101,67
1979,94,68
1980,95,55
1981,62,50
1982,74,37
1983,56,49
1984,48,37
1985,56,26
1986,35,24
1987,37,36
1988,38,51
1989,29,32
1990,31,29
1991,32,31
1992,46,24
1993,23,26
1994,20,28
1995,30,36
1996,37,32
1997,40,23
1998,41,30
1999,29,32
2000,36,32
2001,31,29
2002,32,28
2003,36,37
2004,35,24
2005,42,25
2006,59,40
2007,42,33
2008,77,37
2009,71,32
2010,84,44
2011,79,41
2012,103,40
2013,92,47
2014,88,56
2015,77,47
2016,92,71
2017,75,49
2018,99,65
2019,116,76
