year,Girls,Boys
1880,0,0
1881,0,0
1882,6,0
1883,6,0
1884,0,0
1885,0,0
1886,0,0
1887,7,0
1888,5,0
1889,6,0
1890,10,0
1891,0,0
1892,8,0
1893,8,0
1894,6,0
1895,5,0
1896,0,0
1897,5,0
1898,6,0
1899,6,0
1900,19,0
1901,9,0
1902,11,0
1903,15,0
1904,21,0
1905,9,0
1906,12,0
1907,14,0
1908,10,0
1909,14,0
1910,18,0
1911,11,0
1912,16,0
1913,19,0
1914,26,0
1915,25,0
1916,28,0
1917,26,0
1918,37,0
1919,35,0
1920,24,0
1921,17,0
1922,31,0
1923,34,0
1924,30,0
1925,35,0
1926,31,0
1927,26,0
1928,30,0
1929,18,0
1930,21,0
1931,20,0
1932,14,0
1933,13,0
1934,21,0
1935,23,0
1936,15,0
1937,22,0
1938,15,0
1939,28,0
1940,17,0
1941,19,0
1942,17,0
1943,16,0
1944,14,0
1945,20,0
1946,23,0
1947,18,0
1948,11,0
1949,12,0
1950,19,0
1951,20,0
1952,16,0
1953,13,0
1954,19,0
1955,20,0
1956,16,0
1957,15,0
1958,17,0
1959,16,0
1960,15,0
1961,17,0
1962,18,0
1963,9,0
1964,17,0
1965,15,0
1966,17,0
1967,17,0
1968,21,0
1969,18,0
1970,12,0
1971,17,0
1972,8,0
1973,13,0
1974,14,0
1975,11,0
1976,5,0
1977,8,0
1978,12,0
1979,10,0
1980,11,0
1981,9,0
1982,13,0
1983,11,0
1984,9,0
1985,12,0
1986,14,0
1987,11,0
1988,9,0
1989,16,0
1990,12,0
1991,12,0
1992,6,0
1993,16,0
1994,5,0
1995,13,0
1996,7,0
1997,6,0
1998,6,0
1999,0,0
2000,8,0
2001,9,0
2002,8,0
2003,0,0
2004,0,0
2005,8,0
2006,7,0
2007,8,0
2008,13,0
2009,11,0
2010,6,0
2011,6,0
2012,6,0
2013,7,0
2014,0,0
2015,5,0
2016,7,0
2017,0,0
2018,0,0
2019,0,0
