year,Boys,Girls
1880,0,8
1881,0,9
1882,0,7
1883,0,9
1884,0,0
1885,0,7
1886,0,7
1887,0,0
1888,0,8
1889,0,6
1890,0,5
1891,0,6
1892,0,7
1893,0,0
1894,0,11
1895,0,0
1896,0,0
1897,0,0
1898,0,6
1899,0,0
1900,0,0
1901,0,6
1902,0,5
1903,0,0
1904,0,9
1905,0,0
1906,0,9
1907,0,0
1908,0,8
1909,0,12
1910,0,9
1911,0,11
1912,0,10
1913,0,18
1914,0,27
1915,0,30
1916,0,33
1917,0,47
1918,0,49
1919,0,41
1920,0,42
1921,0,44
1922,0,59
1923,0,40
1924,0,36
1925,0,49
1926,0,29
1927,0,30
1928,0,41
1929,0,34
1930,0,47
1931,0,33
1932,0,35
1933,0,27
1934,0,26
1935,0,30
1936,0,25
1937,0,27
1938,0,31
1939,0,34
1940,0,20
1941,0,40
1942,0,30
1943,0,33
1944,0,39
1945,0,43
1946,0,39
1947,0,51
1948,0,27
1949,0,33
1950,0,35
1951,0,30
1952,5,29
1953,5,51
1954,7,42
1955,5,39
1956,0,36
1957,5,48
1958,7,41
1959,0,40
1960,0,30
1961,0,30
1962,0,32
1963,7,27
1964,0,35
1965,0,36
1966,7,33
1967,0,37
1968,0,29
1969,0,29
1970,7,36
1971,6,34
1972,0,37
1973,7,43
1974,0,37
1975,6,37
1976,0,62
1977,0,48
1978,0,48
1979,0,59
1980,0,56
1981,0,57
1982,0,60
1983,0,53
1984,0,53
1985,0,62
1986,0,44
1987,0,56
1988,0,65
1989,0,63
1990,0,65
1991,0,79
1992,0,92
1993,0,62
1994,0,94
1995,0,72
1996,0,93
1997,0,91
1998,0,91
1999,0,95
2000,0,72
2001,0,80
2002,0,87
2003,0,91
2004,0,60
2005,0,64
2006,0,53
2007,0,62
2008,0,51
2009,0,74
2010,0,51
2011,0,60
2012,0,49
2013,0,49
2014,0,67
2015,0,66
2016,0,56
2017,0,47
2018,0,48
2019,0,25
