year,Girls,Boys
1880,859,0
1881,923,6
1882,1089,5
1883,1096,6
1884,1225,6
1885,1222,6
1886,1189,0
1887,1162,0
1888,1396,10
1889,1293,9
1890,1359,8
1891,1188,12
1892,1270,5
1893,1202,6
1894,1144,13
1895,1136,6
1896,1104,0
1897,984,0
1898,1009,0
1899,908,0
1900,1013,5
1901,819,0
1902,834,0
1903,776,7
1904,757,0
1905,709,0
1906,619,0
1907,585,0
1908,510,0
1909,520,0
1910,575,0
1911,553,0
1912,598,0
1913,655,0
1914,693,0
1915,771,5
1916,739,0
1917,728,0
1918,727,0
1919,674,8
1920,695,5
1921,591,0
1922,534,0
1923,472,0
1924,485,0
1925,461,0
1926,387,0
1927,348,0
1928,292,0
1929,271,5
1930,258,0
1931,217,0
1932,192,0
1933,182,0
1934,195,0
1935,172,0
1936,163,0
1937,154,0
1938,142,0
1939,135,0
1940,146,0
1941,111,0
1942,117,0
1943,110,0
1944,101,0
1945,95,0
1946,87,0
1947,100,0
1948,87,0
1949,108,0
1950,85,0
1951,69,0
1952,76,0
1953,72,0
1954,63,0
1955,53,0
1956,71,0
1957,64,0
1958,42,0
1959,52,0
1960,49,0
1961,42,0
1962,34,0
1963,34,0
1964,27,0
1965,26,0
1966,26,0
1967,27,0
1968,20,0
1969,17,0
1970,24,0
1971,13,0
1972,20,0
1973,22,0
1974,14,0
1975,16,0
1976,10,0
1977,9,0
1978,7,0
1979,10,0
1980,11,0
1981,10,0
1982,13,0
1983,9,0
1984,8,0
1985,10,0
1986,9,0
1987,14,0
1988,11,0
1989,14,0
1990,11,0
1991,13,0
1992,9,0
1993,8,0
1994,10,0
1995,10,0
1996,7,0
1997,10,0
1998,8,0
1999,9,0
2000,7,0
2001,7,0
2002,10,0
2003,12,0
2004,12,0
2005,7,0
2006,7,0
2007,5,0
2008,8,0
2009,11,0
2010,7,0
2011,9,0
2012,10,0
2013,17,0
2014,15,0
2015,16,0
2016,17,0
2017,17,0
2018,25,0
2019,25,0
