year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,5,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,5,0
1913,6,0
1914,0,0
1915,6,0
1916,7,0
1917,5,0
1918,8,0
1919,6,0
1920,16,0
1921,14,0
1922,11,0
1923,8,0
1924,17,0
1925,19,0
1926,8,0
1927,11,0
1928,10,0
1929,11,0
1930,13,0
1931,14,0
1932,22,0
1933,22,0
1934,24,0
1935,32,0
1936,20,0
1937,16,0
1938,25,0
1939,24,0
1940,30,0
1941,35,0
1942,32,0
1943,37,0
1944,42,0
1945,43,0
1946,57,0
1947,65,0
1948,99,0
1949,92,0
1950,80,0
1951,121,0
1952,161,0
1953,140,0
1954,209,0
1955,217,0
1956,248,0
1957,287,0
1958,294,0
1959,312,0
1960,332,0
1961,366,0
1962,365,0
1963,417,0
1964,430,0
1965,385,0
1966,348,0
1967,337,0
1968,346,0
1969,325,0
1970,271,0
1971,262,0
1972,240,0
1973,216,0
1974,206,0
1975,174,0
1976,194,0
1977,194,0
1978,190,0
1979,229,0
1980,232,0
1981,236,0
1982,279,5
1983,248,0
1984,222,0
1985,267,0
1986,273,0
1987,271,0
1988,317,0
1989,348,0
1990,349,0
1991,374,0
1992,313,0
1993,311,0
1994,297,0
1995,303,0
1996,310,0
1997,361,0
1998,335,0
1999,310,0
2000,308,0
2001,372,0
2002,300,0
2003,316,0
2004,358,0
2005,318,0
2006,289,0
2007,231,0
2008,215,0
2009,195,0
2010,193,0
2011,181,0
2012,177,0
2013,152,0
2014,161,0
2015,154,0
2016,143,0
2017,189,0
2018,136,0
2019,132,0
