year,F,M
1880,0,354
1881,0,298
1882,0,321
1883,0,307
1884,0,373
1885,0,370
1886,0,348
1887,0,345
1888,0,466
1889,0,377
1890,0,394
1891,0,333
1892,0,380
1893,0,407
1894,0,423
1895,0,413
1896,0,399
1897,7,368
1898,0,434
1899,0,375
1900,0,495
1901,0,384
1902,0,460
1903,0,466
1904,0,462
1905,0,513
1906,5,531
1907,0,586
1908,0,688
1909,7,635
1910,9,844
1911,7,1159
1912,8,2104
1913,12,2607
1914,16,3362
1915,14,4081
1916,18,4210
1917,12,4289
1918,30,4296
1919,24,3910
1920,22,4003
1921,24,4198
1922,31,3990
1923,29,3915
1924,36,3873
1925,34,3761
1926,32,3486
1927,29,3607
1928,33,3597
1929,33,3465
1930,36,3544
1931,24,3492
1932,20,3608
1933,26,3545
1934,20,4107
1935,32,4907
1936,40,5802
1937,47,7094
1938,58,9081
1939,81,10827
1940,80,13229
1941,97,15933
1942,156,21726
1943,188,24745
1944,168,26721
1945,158,29901
1946,169,41182
1947,173,50503
1948,170,52561
1949,188,60049
1950,179,65142
1951,172,72798
1952,190,79040
1953,233,84207
1954,216,88586
1955,250,88336
1956,240,90662
1957,255,92726
1958,295,90531
1959,285,85237
1960,318,84177
1961,325,86918
1962,354,85042
1963,377,83778
1964,303,82642
1965,355,81026
1966,346,79992
1967,373,82440
1968,473,81997
1969,457,85200
1970,457,85292
1971,459,77595
1972,452,71407
1973,451,67841
1974,525,67582
1975,557,68452
1976,515,66949
1977,560,67612
1978,545,67157
1979,554,67742
1980,546,68698
1981,487,68774
1982,576,68238
1983,577,68005
1984,508,67740
1985,531,64918
1986,590,64220
1987,544,63651
1988,480,64150
1989,363,65394
1990,278,65296
1991,267,60788
1992,258,54392
1993,223,49554
1994,192,44472
1995,167,41399
1996,157,38364
1997,142,37549
1998,128,36615
1999,123,33913
2000,114,32038
2001,96,29685
2002,95,28252
2003,94,27123
2004,148,25459
2005,61,23818
2006,64,22639
2007,51,22003
2008,55,20631
2009,45,18948
2010,37,17359
2011,36,16805
2012,27,16183
2013,39,15513
2014,35,15469
2015,36,14450
2016,34,14098
2017,34,12662
2018,20,11688
2019,33,10514
