year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,6,0
1923,0,0
1924,0,0
1925,6,0
1926,0,0
1927,7,0
1928,0,0
1929,0,0
1930,7,0
1931,0,0
1932,7,0
1933,0,5
1934,0,9
1935,0,5
1936,0,9
1937,0,8
1938,0,5
1939,0,10
1940,0,6
1941,0,7
1942,8,9
1943,7,7
1944,6,12
1945,0,8
1946,6,20
1947,7,18
1948,13,19
1949,12,30
1950,18,15
1951,12,28
1952,28,25
1953,16,46
1954,22,60
1955,19,60
1956,17,51
1957,27,82
1958,20,65
1959,21,68
1960,20,56
1961,25,83
1962,12,56
1963,17,45
1964,5,45
1965,6,40
1966,11,45
1967,9,78
1968,10,71
1969,6,42
1970,6,56
1971,10,56
1972,10,42
1973,13,62
1974,10,64
1975,8,63
1976,5,49
1977,11,57
1978,10,38
1979,6,35
1980,8,43
1981,0,31
1982,0,29
1983,6,50
1984,5,32
1985,12,33
1986,6,24
1987,6,22
1988,0,23
1989,0,24
1990,0,21
1991,0,24
1992,0,27
1993,6,19
1994,6,19
1995,0,16
1996,0,22
1997,0,11
1998,0,13
1999,0,10
2000,0,14
2001,0,12
2002,0,24
2003,0,9
2004,0,13
2005,0,12
2006,0,12
2007,5,12
2008,0,9
2009,0,12
2010,0,6
2011,0,15
2012,0,12
2013,0,13
2014,0,7
2015,0,20
2016,0,16
2017,0,16
2018,0,7
2019,0,6
