year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,6
1944,0,8
1945,7,0
1946,8,5
1947,7,0
1948,0,6
1949,0,6
1950,0,5
1951,0,11
1952,0,7
1953,0,16
1954,0,0
1955,0,8
1956,0,12
1957,0,14
1958,0,8
1959,0,13
1960,0,9
1961,0,13
1962,0,16
1963,0,11
1964,0,13
1965,5,12
1966,0,9
1967,0,16
1968,5,18
1969,5,18
1970,7,16
1971,0,19
1972,0,26
1973,0,14
1974,20,25
1975,33,25
1976,17,49
1977,15,52
1978,14,71
1979,9,61
1980,13,54
1981,6,49
1982,5,49
1983,0,51
1984,9,46
1985,16,42
1986,11,52
1987,15,48
1988,21,45
1989,12,43
1990,17,69
1991,8,59
1992,13,76
1993,22,158
1994,20,132
1995,22,133
1996,16,102
1997,21,128
1998,13,94
1999,12,120
2000,13,85
2001,14,82
2002,7,81
2003,6,80
2004,10,84
2005,7,65
2006,13,75
2007,7,65
2008,5,42
2009,8,41
2010,9,39
2011,6,32
2012,7,36
2013,13,41
2014,5,21
2015,8,27
2016,6,28
2017,0,28
2018,9,32
2019,5,27
