year,Girls,Boys
1880,63,0
1881,53,0
1882,56,0
1883,52,0
1884,73,0
1885,77,0
1886,65,0
1887,64,0
1888,79,0
1889,79,0
1890,89,0
1891,59,0
1892,82,0
1893,61,0
1894,82,0
1895,75,0
1896,98,0
1897,74,0
1898,79,0
1899,82,0
1900,101,0
1901,84,0
1902,88,0
1903,76,0
1904,64,0
1905,88,0
1906,84,0
1907,63,0
1908,85,0
1909,95,0
1910,100,0
1911,114,0
1912,111,0
1913,145,0
1914,139,0
1915,205,0
1916,181,0
1917,211,0
1918,200,0
1919,185,0
1920,204,0
1921,202,0
1922,197,0
1923,155,0
1924,183,0
1925,185,0
1926,143,0
1927,157,0
1928,153,0
1929,159,0
1930,157,0
1931,137,0
1932,146,0
1933,125,0
1934,126,0
1935,101,0
1936,104,0
1937,116,0
1938,121,0
1939,114,0
1940,105,0
1941,118,0
1942,123,0
1943,150,0
1944,155,0
1945,112,0
1946,143,0
1947,130,0
1948,147,0
1949,154,0
1950,144,0
1951,168,0
1952,171,0
1953,195,0
1954,185,0
1955,221,0
1956,193,0
1957,212,0
1958,206,0
1959,179,0
1960,206,0
1961,217,0
1962,158,0
1963,179,0
1964,148,0
1965,154,0
1966,129,0
1967,154,0
1968,117,0
1969,124,0
1970,127,0
1971,120,0
1972,110,0
1973,127,0
1974,91,0
1975,100,0
1976,124,0
1977,95,0
1978,74,0
1979,102,0
1980,97,0
1981,112,0
1982,90,0
1983,76,0
1984,64,0
1985,82,0
1986,84,0
1987,71,0
1988,70,0
1989,91,0
1990,90,0
1991,81,0
1992,84,0
1993,67,0
1994,72,0
1995,61,0
1996,58,0
1997,56,0
1998,52,0
1999,48,0
2000,51,0
2001,45,0
2002,55,0
2003,61,0
2004,58,0
2005,59,0
2006,65,0
2007,72,0
2008,48,0
2009,41,0
2010,37,0
2011,38,0
2012,39,0
2013,46,0
2014,47,0
2015,51,0
2016,65,0
2017,68,0
2018,82,0
2019,83,0
