year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,5,0
1911,0,0
1912,5,0
1913,10,0
1914,6,0
1915,17,0
1916,7,0
1917,12,0
1918,13,0
1919,17,0
1920,12,0
1921,10,0
1922,8,0
1923,7,0
1924,11,0
1925,6,0
1926,8,0
1927,0,0
1928,7,0
1929,0,0
1930,16,0
1931,7,0
1932,8,0
1933,5,0
1934,7,0
1935,0,0
1936,5,0
1937,5,0
1938,8,0
1939,7,0
1940,0,0
1941,0,0
1942,0,5
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,5,0
1953,0,0
1954,5,0
1955,0,0
1956,5,0
1957,0,5
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,6,0
1972,0,0
1973,0,0
1974,0,5
1975,9,9
1976,16,8
1977,5,0
1978,7,12
1979,11,10
1980,10,11
1981,10,10
1982,9,27
1983,16,15
1984,8,27
1985,52,54
1986,46,43
1987,47,40
1988,75,36
1989,92,73
1990,97,79
1991,117,93
1992,182,118
1993,225,125
1994,331,185
1995,341,194
1996,374,188
1997,458,181
1998,496,182
1999,462,141
2000,432,141
2001,374,143
2002,366,124
2003,304,85
2004,238,102
2005,226,89
2006,306,75
2007,290,65
2008,191,42
2009,129,32
2010,80,33
2011,99,28
2012,87,46
2013,104,41
2014,126,49
2015,128,73
2016,137,61
2017,115,69
2018,112,97
2019,120,110
