year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,5
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,8
1913,0,8
1914,0,8
1915,0,6
1916,0,16
1917,0,7
1918,5,17
1919,0,11
1920,5,12
1921,0,16
1922,0,13
1923,0,13
1924,0,15
1925,0,16
1926,0,12
1927,0,24
1928,0,25
1929,0,32
1930,0,37
1931,0,51
1932,6,47
1933,0,48
1934,6,67
1935,8,53
1936,0,79
1937,0,94
1938,6,100
1939,5,139
1940,12,121
1941,9,136
1942,9,126
1943,5,191
1944,10,147
1945,6,142
1946,0,192
1947,7,218
1948,6,216
1949,14,334
1950,7,342
1951,15,320
1952,0,332
1953,9,295
1954,9,357
1955,5,354
1956,9,384
1957,10,465
1958,0,472
1959,0,496
1960,6,481
1961,12,539
1962,8,490
1963,15,459
1964,9,451
1965,0,419
1966,0,412
1967,7,325
1968,7,302
1969,5,296
1970,6,330
1971,0,300
1972,9,265
1973,0,222
1974,0,186
1975,0,182
1976,0,156
1977,0,139
1978,0,129
1979,7,120
1980,0,117
1981,0,101
1982,0,94
1983,0,85
1984,0,78
1985,0,79
1986,0,67
1987,0,53
1988,0,73
1989,0,66
1990,0,61
1991,0,61
1992,0,59
1993,0,55
1994,0,47
1995,0,50
1996,0,46
1997,0,43
1998,0,34
1999,0,37
2000,0,33
2001,0,27
2002,0,29
2003,0,34
2004,0,21
2005,0,34
2006,0,38
2007,0,42
2008,0,37
2009,0,56
2010,0,40
2011,0,23
2012,0,32
2013,0,33
2014,0,43
2015,0,49
2016,0,45
2017,0,36
2018,0,31
2019,0,55
