year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,5
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,5
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,5
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,6
1962,0,0
1963,0,0
1964,0,5
1965,0,0
1966,0,8
1967,0,11
1968,0,10
1969,0,12
1970,0,23
1971,0,33
1972,0,25
1973,0,16
1974,0,30
1975,0,55
1976,0,75
1977,0,77
1978,0,85
1979,0,106
1980,0,84
1981,0,91
1982,0,108
1983,0,115
1984,0,122
1985,0,100
1986,0,95
1987,0,110
1988,0,106
1989,0,91
1990,0,106
1991,0,112
1992,0,138
1993,0,145
1994,0,154
1995,0,191
1996,0,190
1997,0,217
1998,0,226
1999,0,239
2000,0,303
2001,0,339
2002,0,284
2003,0,306
2004,0,296
2005,0,299
2006,0,366
2007,0,330
2008,0,403
2009,0,430
2010,0,510
2011,0,545
2012,0,582
2013,0,694
2014,0,774
2015,0,882
2016,0,958
2017,0,897
2018,0,961
2019,0,992
