year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,5,0
1912,0,0
1913,9,0
1914,7,0
1915,14,0
1916,23,0
1917,15,0
1918,10,0
1919,14,0
1920,9,0
1921,10,0
1922,15,0
1923,16,0
1924,13,0
1925,26,0
1926,14,0
1927,20,0
1928,14,0
1929,14,0
1930,27,0
1931,27,0
1932,18,0
1933,20,0
1934,20,0
1935,7,0
1936,10,0
1937,13,0
1938,12,0
1939,12,0
1940,8,0
1941,12,0
1942,14,0
1943,17,0
1944,15,0
1945,15,0
1946,14,0
1947,15,0
1948,20,0
1949,27,0
1950,21,0
1951,28,0
1952,32,0
1953,30,0
1954,48,0
1955,36,0
1956,50,0
1957,36,0
1958,43,0
1959,31,0
1960,52,0
1961,36,0
1962,52,0
1963,49,0
1964,53,0
1965,60,0
1966,52,0
1967,47,0
1968,63,0
1969,71,0
1970,70,0
1971,81,0
1972,80,0
1973,77,0
1974,88,0
1975,86,0
1976,585,5
1977,790,7
1978,610,0
1979,608,5
1980,546,0
1981,476,0
1982,445,0
1983,375,5
1984,664,0
1985,515,0
1986,476,0
1987,532,0
1988,740,8
1989,762,9
1990,659,6
1991,585,0
1992,593,6
1993,572,0
1994,547,0
1995,681,0
1996,778,0
1997,857,0
1998,943,0
1999,916,0
2000,1271,0
2001,1331,0
2002,1499,0
2003,1580,0
2004,1584,6
2005,1921,0
2006,1870,0
2007,1721,0
2008,1540,0
2009,1345,5
2010,1288,0
2011,1182,0
2012,1087,0
2013,995,0
2014,1124,0
2015,950,0
2016,914,0
2017,780,0
2018,778,0
2019,752,0
