year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,10
1973,0,5
1974,0,9
1975,0,6
1976,0,10
1977,0,7
1978,0,14
1979,0,11
1980,0,16
1981,0,11
1982,0,12
1983,0,13
1984,0,9
1985,0,12
1986,0,11
1987,0,9
1988,0,15
1989,9,14
1990,7,12
1991,5,12
1992,0,15
1993,0,17
1994,5,15
1995,0,20
1996,5,10
1997,5,33
1998,10,17
1999,6,20
2000,5,26
2001,0,27
2002,6,21
2003,0,24
2004,10,22
2005,8,30
2006,10,42
2007,10,33
2008,26,40
2009,16,44
2010,19,47
2011,15,29
2012,15,36
2013,26,56
2014,32,47
2015,17,41
2016,16,46
2017,16,50
2018,12,50
2019,7,50
