year,F,M
1880,0,43
1881,0,33
1882,0,35
1883,0,29
1884,0,36
1885,0,33
1886,0,40
1887,0,37
1888,0,37
1889,0,38
1890,0,40
1891,0,35
1892,0,35
1893,0,33
1894,0,41
1895,0,38
1896,0,35
1897,0,43
1898,0,40
1899,0,33
1900,0,58
1901,5,29
1902,0,46
1903,0,49
1904,0,44
1905,0,45
1906,5,43
1907,0,48
1908,6,46
1909,0,48
1910,5,65
1911,0,63
1912,12,127
1913,0,143
1914,5,176
1915,5,228
1916,7,283
1917,10,277
1918,6,287
1919,5,294
1920,6,371
1921,9,344
1922,5,388
1923,0,410
1924,6,405
1925,11,420
1926,6,417
1927,7,384
1928,7,376
1929,9,342
1930,0,381
1931,6,372
1932,8,374
1933,5,362
1934,0,440
1935,5,415
1936,7,419
1937,5,430
1938,0,445
1939,0,444
1940,0,506
1941,0,543
1942,0,569
1943,0,534
1944,0,569
1945,7,579
1946,0,676
1947,5,730
1948,5,713
1949,0,740
1950,5,848
1951,7,955
1952,0,1143
1953,0,966
1954,0,1088
1955,9,1060
1956,0,1102
1957,0,1192
1958,0,1157
1959,0,1221
1960,0,1191
1961,0,1120
1962,0,1032
1963,5,1096
1964,0,1128
1965,7,884
1966,0,814
1967,6,742
1968,0,651
1969,0,703
1970,0,719
1971,0,600
1972,0,533
1973,0,538
1974,7,583
1975,0,648
1976,5,550
1977,0,625
1978,0,583
1979,6,637
1980,0,593
1981,0,597
1982,0,556
1983,5,573
1984,0,565
1985,0,562
1986,5,542
1987,0,456
1988,0,459
1989,0,522
1990,0,463
1991,0,444
1992,0,396
1993,0,384
1994,0,294
1995,0,258
1996,0,262
1997,0,246
1998,0,209
1999,0,185
2000,0,178
2001,0,171
2002,0,169
2003,0,129
2004,0,111
2005,0,131
2006,0,138
2007,0,116
2008,0,111
2009,0,113
2010,0,114
2011,0,97
2012,0,105
2013,0,99
2014,0,120
2015,0,151
2016,0,152
2017,0,131
2018,0,102
2019,0,117
