year,F,M
1880,77,0
1881,75,0
1882,103,0
1883,116,0
1884,120,0
1885,151,0
1886,175,0
1887,146,0
1888,188,0
1889,194,0
1890,221,0
1891,190,0
1892,216,0
1893,187,0
1894,215,0
1895,247,0
1896,215,0
1897,209,0
1898,246,0
1899,192,0
1900,256,5
1901,205,0
1902,247,0
1903,206,0
1904,226,0
1905,229,0
1906,241,0
1907,261,0
1908,288,0
1909,277,0
1910,318,6
1911,322,0
1912,422,0
1913,491,8
1914,530,0
1915,689,0
1916,722,7
1917,766,0
1918,687,9
1919,666,8
1920,661,0
1921,760,0
1922,647,7
1923,624,5
1924,635,5
1925,627,0
1926,531,0
1927,562,6
1928,498,6
1929,489,0
1930,511,0
1931,456,0
1932,483,0
1933,443,9
1934,427,0
1935,390,6
1936,352,0
1937,320,0
1938,331,0
1939,271,5
1940,296,0
1941,240,0
1942,261,0
1943,225,0
1944,176,0
1945,184,0
1946,197,0
1947,181,0
1948,182,0
1949,132,0
1950,157,0
1951,140,0
1952,128,0
1953,137,0
1954,109,0
1955,97,0
1956,106,0
1957,81,0
1958,88,0
1959,78,0
1960,85,0
1961,67,0
1962,42,0
1963,53,0
1964,49,0
1965,37,0
1966,30,0
1967,29,0
1968,32,0
1969,38,0
1970,36,0
1971,35,0
1972,34,0
1973,42,0
1974,43,0
1975,34,0
1976,28,0
1977,26,6
1978,26,0
1979,36,0
1980,40,0
1981,22,0
1982,28,0
1983,29,0
1984,28,0
1985,24,0
1986,22,0
1987,29,0
1988,25,0
1989,24,0
1990,31,0
1991,20,0
1992,20,0
1993,19,0
1994,19,0
1995,18,0
1996,36,0
1997,32,0
1998,32,0
1999,31,0
2000,28,0
2001,35,0
2002,23,0
2003,23,0
2004,19,0
2005,27,0
2006,30,0
2007,24,0
2008,20,0
2009,30,0
2010,24,0
2011,32,0
2012,32,0
2013,44,0
2014,42,0
2015,61,0
2016,70,0
2017,87,0
2018,72,0
2019,115,0
