year,Girls,Boys
1880,0,0
1881,0,0
1882,0,7
1883,0,0
1884,0,0
1885,0,6
1886,0,0
1887,0,7
1888,0,5
1889,0,7
1890,0,7
1891,0,8
1892,0,8
1893,0,5
1894,0,10
1895,0,13
1896,0,8
1897,0,0
1898,0,7
1899,0,0
1900,0,5
1901,0,0
1902,0,5
1903,0,6
1904,0,0
1905,0,10
1906,0,0
1907,0,11
1908,0,6
1909,0,13
1910,0,11
1911,0,9
1912,0,19
1913,0,25
1914,0,42
1915,0,37
1916,0,48
1917,0,36
1918,0,58
1919,0,45
1920,0,47
1921,0,67
1922,0,32
1923,0,49
1924,0,46
1925,0,42
1926,0,43
1927,0,41
1928,0,33
1929,0,42
1930,0,43
1931,0,34
1932,0,26
1933,0,33
1934,0,27
1935,0,16
1936,0,18
1937,0,23
1938,0,19
1939,0,22
1940,0,16
1941,0,20
1942,0,21
1943,0,20
1944,0,24
1945,0,25
1946,0,16
1947,0,17
1948,0,23
1949,0,16
1950,0,30
1951,0,12
1952,0,24
1953,0,19
1954,0,15
1955,0,13
1956,0,14
1957,0,12
1958,0,9
1959,0,15
1960,0,11
1961,0,12
1962,0,11
1963,0,11
1964,0,9
1965,0,11
1966,0,12
1967,0,13
1968,0,9
1969,0,10
1970,0,14
1971,0,9
1972,0,13
1973,0,6
1974,0,9
1975,0,0
1976,0,9
1977,0,13
1978,0,0
1979,0,0
1980,0,0
1981,0,5
1982,0,7
1983,0,5
1984,0,7
1985,0,5
1986,0,6
1987,0,6
1988,0,6
1989,0,8
1990,0,8
1991,0,5
1992,0,0
1993,0,9
1994,0,6
1995,0,0
1996,0,6
1997,0,0
1998,0,5
1999,0,5
2000,0,6
2001,0,0
2002,0,0
2003,0,0
2004,0,5
2005,0,7
2006,0,0
2007,0,5
2008,0,0
2009,0,9
2010,0,0
2011,0,7
2012,0,6
2013,0,0
2014,0,0
2015,0,6
2016,0,0
2017,0,5
2018,0,0
2019,0,6
