year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,6
1915,0,0
1916,0,0
1917,6,0
1918,0,5
1919,0,0
1920,0,7
1921,0,7
1922,0,8
1923,0,8
1924,13,6
1925,8,6
1926,0,9
1927,6,13
1928,6,10
1929,9,14
1930,8,13
1931,15,15
1932,11,10
1933,6,10
1934,0,12
1935,11,16
1936,0,9
1937,12,13
1938,6,21
1939,6,14
1940,16,26
1941,16,26
1942,21,21
1943,25,39
1944,38,26
1945,28,31
1946,49,40
1947,43,36
1948,39,31
1949,41,30
1950,43,25
1951,38,30
1952,42,31
1953,39,32
1954,46,44
1955,44,24
1956,36,26
1957,36,18
1958,40,38
1959,37,36
1960,45,31
1961,57,31
1962,35,26
1963,42,20
1964,43,19
1965,43,23
1966,39,18
1967,37,33
1968,54,24
1969,61,23
1970,71,22
1971,81,27
1972,111,22
1973,103,34
1974,82,18
1975,70,19
1976,84,25
1977,53,18
1978,63,16
1979,104,15
1980,88,15
1981,74,10
1982,76,6
1983,95,17
1984,78,7
1985,88,6
1986,65,8
1987,52,0
1988,46,6
1989,44,5
1990,43,0
1991,34,6
1992,31,9
1993,20,6
1994,30,7
1995,21,6
1996,16,0
1997,16,7
1998,17,0
1999,17,0
2000,12,6
2001,15,0
2002,6,0
2003,8,0
2004,8,5
2005,5,0
2006,6,0
2007,8,0
2008,5,0
2009,0,0
2010,0,0
2011,9,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,5,0
2017,0,0
2018,0,0
2019,0,0
