year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,5
1898,0,0
1899,0,0
1900,0,5
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,6
1911,0,0
1912,0,7
1913,0,23
1914,0,15
1915,0,16
1916,0,26
1917,0,38
1918,0,29
1919,0,23
1920,0,27
1921,0,31
1922,0,24
1923,0,25
1924,0,24
1925,0,25
1926,0,22
1927,0,27
1928,0,35
1929,0,42
1930,0,29
1931,0,43
1932,0,29
1933,0,30
1934,0,30
1935,0,27
1936,0,26
1937,0,33
1938,0,33
1939,0,28
1940,0,35
1941,0,35
1942,0,55
1943,0,46
1944,0,44
1945,0,36
1946,0,36
1947,0,45
1948,0,55
1949,0,47
1950,0,57
1951,0,45
1952,0,44
1953,0,42
1954,0,32
1955,0,42
1956,0,38
1957,0,30
1958,0,31
1959,0,30
1960,0,35
1961,0,34
1962,0,31
1963,0,28
1964,0,29
1965,0,28
1966,0,22
1967,0,21
1968,0,14
1969,0,30
1970,0,21
1971,0,24
1972,0,18
1973,0,35
1974,0,38
1975,0,45
1976,0,33
1977,0,23
1978,0,38
1979,0,42
1980,0,37
1981,0,38
1982,0,33
1983,0,48
1984,0,31
1985,0,45
1986,0,46
1987,0,47
1988,0,45
1989,0,53
1990,0,45
1991,0,48
1992,0,43
1993,0,42
1994,0,57
1995,0,70
1996,0,49
1997,0,56
1998,0,80
1999,0,68
2000,0,64
2001,0,54
2002,0,41
2003,0,41
2004,0,43
2005,0,36
2006,0,38
2007,0,50
2008,0,37
2009,0,47
2010,0,29
2011,0,41
2012,0,45
2013,0,39
2014,0,53
2015,0,49
2016,0,54
2017,0,65
2018,0,48
2019,0,64
