year,Girls,Boys
1880,0,0
1881,7,0
1882,8,0
1883,9,0
1884,15,0
1885,6,0
1886,7,0
1887,13,0
1888,18,0
1889,12,0
1890,20,0
1891,27,0
1892,28,0
1893,28,0
1894,35,0
1895,44,0
1896,31,0
1897,21,0
1898,23,0
1899,22,0
1900,29,0
1901,25,0
1902,30,0
1903,30,0
1904,40,0
1905,40,0
1906,31,0
1907,36,0
1908,40,0
1909,43,0
1910,49,0
1911,42,0
1912,70,0
1913,52,0
1914,69,0
1915,114,0
1916,108,0
1917,91,0
1918,134,0
1919,109,0
1920,122,0
1921,111,0
1922,111,0
1923,152,0
1924,155,0
1925,182,0
1926,164,0
1927,177,0
1928,170,0
1929,139,0
1930,174,0
1931,170,0
1932,190,0
1933,164,0
1934,174,0
1935,166,0
1936,167,0
1937,175,0
1938,174,0
1939,174,0
1940,174,0
1941,220,0
1942,240,0
1943,265,0
1944,211,0
1945,230,0
1946,253,0
1947,263,0
1948,265,0
1949,255,0
1950,246,0
1951,284,0
1952,345,0
1953,339,0
1954,389,0
1955,396,0
1956,403,0
1957,368,0
1958,357,0
1959,326,0
1960,310,0
1961,276,0
1962,271,0
1963,268,0
1964,204,0
1965,159,0
1966,152,0
1967,149,0
1968,120,0
1969,125,0
1970,107,0
1971,86,0
1972,99,0
1973,95,0
1974,62,0
1975,68,0
1976,71,0
1977,55,0
1978,54,0
1979,67,0
1980,50,0
1981,47,0
1982,39,0
1983,37,0
1984,44,0
1985,34,0
1986,30,0
1987,26,0
1988,18,0
1989,22,0
1990,18,0
1991,27,0
1992,26,0
1993,25,0
1994,27,0
1995,25,0
1996,9,0
1997,16,0
1998,15,0
1999,12,0
2000,18,0
2001,19,0
2002,15,0
2003,15,0
2004,12,0
2005,15,0
2006,11,0
2007,21,0
2008,16,0
2009,15,0
2010,7,0
2011,7,0
2012,11,0
2013,13,0
2014,15,0
2015,13,0
2016,12,0
2017,12,0
2018,13,0
2019,16,0
