year,Girls,Boys
1880,0,0
1881,0,0
1882,0,5
1883,0,0
1884,0,5
1885,0,8
1886,0,0
1887,0,0
1888,0,5
1889,0,5
1890,0,0
1891,0,5
1892,0,0
1893,0,7
1894,0,0
1895,0,5
1896,0,5
1897,0,10
1898,0,0
1899,0,6
1900,0,8
1901,0,5
1902,0,0
1903,0,6
1904,0,6
1905,0,5
1906,0,7
1907,0,10
1908,0,6
1909,0,9
1910,0,7
1911,0,17
1912,0,29
1913,0,33
1914,0,45
1915,0,54
1916,0,62
1917,0,64
1918,0,57
1919,0,62
1920,0,57
1921,0,57
1922,0,45
1923,0,63
1924,0,59
1925,0,57
1926,0,56
1927,0,59
1928,0,74
1929,0,58
1930,0,62
1931,0,66
1932,0,56
1933,0,49
1934,0,55
1935,0,52
1936,0,38
1937,0,51
1938,0,30
1939,0,37
1940,0,40
1941,0,31
1942,0,38
1943,0,17
1944,0,21
1945,0,24
1946,0,22
1947,0,27
1948,0,23
1949,0,31
1950,0,24
1951,0,23
1952,0,14
1953,0,19
1954,0,15
1955,0,12
1956,0,17
1957,0,11
1958,0,11
1959,0,13
1960,0,14
1961,0,9
1962,0,11
1963,0,14
1964,0,12
1965,0,9
1966,0,0
1967,0,9
1968,0,10
1969,0,11
1970,0,6
1971,0,9
1972,0,5
1973,0,7
1974,0,10
1975,0,7
1976,0,0
1977,0,10
1978,0,5
1979,0,0
1980,0,7
1981,0,8
1982,0,6
1983,0,6
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,8
1993,0,8
1994,0,0
1995,0,5
1996,0,7
1997,0,8
1998,0,0
1999,0,0
2000,0,0
2001,0,5
2002,0,6
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
