year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,6
1885,0,0
1886,0,6
1887,0,5
1888,0,10
1889,0,5
1890,0,8
1891,0,0
1892,0,6
1893,0,6
1894,0,9
1895,0,7
1896,0,10
1897,0,14
1898,0,14
1899,0,13
1900,0,28
1901,0,16
1902,0,12
1903,0,21
1904,5,14
1905,0,23
1906,0,20
1907,0,26
1908,0,25
1909,0,46
1910,0,55
1911,5,55
1912,5,68
1913,9,108
1914,9,125
1915,0,152
1916,8,190
1917,8,174
1918,9,158
1919,5,198
1920,12,194
1921,5,208
1922,10,193
1923,6,195
1924,5,182
1925,0,156
1926,8,185
1927,7,208
1928,0,187
1929,7,156
1930,0,149
1931,6,140
1932,8,149
1933,6,134
1934,6,131
1935,0,126
1936,0,111
1937,5,121
1938,0,133
1939,0,116
1940,5,120
1941,5,122
1942,0,122
1943,0,101
1944,7,104
1945,0,106
1946,0,89
1947,0,129
1948,0,112
1949,0,80
1950,0,111
1951,0,98
1952,0,87
1953,0,101
1954,0,84
1955,0,96
1956,0,79
1957,0,63
1958,0,67
1959,0,66
1960,0,66
1961,0,67
1962,0,45
1963,0,48
1964,0,61
1965,0,49
1966,0,53
1967,0,44
1968,0,51
1969,0,39
1970,0,44
1971,0,50
1972,0,45
1973,0,32
1974,0,35
1975,0,29
1976,0,37
1977,0,24
1978,0,29
1979,0,30
1980,0,35
1981,0,26
1982,0,25
1983,0,33
1984,0,33
1985,0,12
1986,0,18
1987,0,23
1988,0,15
1989,0,22
1990,0,23
1991,0,11
1992,0,10
1993,0,17
1994,0,18
1995,0,13
1996,0,6
1997,0,16
1998,0,9
1999,0,8
2000,0,9
2001,0,8
2002,0,6
2003,0,8
2004,0,0
2005,0,8
2006,0,8
2007,0,6
2008,0,0
2009,0,5
2010,0,10
2011,0,12
2012,0,7
2013,0,5
2014,0,5
2015,0,9
2016,0,6
2017,0,15
2018,0,11
2019,0,11
