year,F,M
1880,50,0
1881,31,0
1882,64,0
1883,81,0
1884,99,0
1885,121,0
1886,151,0
1887,153,0
1888,172,0
1889,194,0
1890,225,0
1891,237,0
1892,301,0
1893,262,0
1894,303,0
1895,329,0
1896,355,0
1897,364,0
1898,329,0
1899,292,0
1900,376,0
1901,273,0
1902,321,0
1903,281,0
1904,298,0
1905,288,0
1906,317,0
1907,314,0
1908,345,0
1909,359,0
1910,381,0
1911,489,0
1912,696,0
1913,810,0
1914,1107,7
1915,1532,5
1916,1685,5
1917,1655,0
1918,1691,0
1919,1687,0
1920,1590,5
1921,1572,0
1922,1535,7
1923,1366,6
1924,1462,5
1925,1173,0
1926,1157,0
1927,1102,8
1928,934,9
1929,897,10
1930,774,7
1931,674,5
1932,613,0
1933,511,0
1934,482,8
1935,385,7
1936,388,0
1937,362,5
1938,387,5
1939,356,6
1940,333,0
1941,333,5
1942,346,9
1943,359,0
1944,352,0
1945,313,0
1946,438,0
1947,481,5
1948,571,5
1949,490,0
1950,539,0
1951,586,0
1952,588,0
1953,576,0
1954,625,0
1955,601,0
1956,546,0
1957,563,0
1958,488,0
1959,547,0
1960,607,0
1961,550,5
1962,545,5
1963,496,0
1964,476,0
1965,393,5
1966,405,0
1967,422,0
1968,446,0
1969,394,5
1970,390,0
1971,420,0
1972,360,0
1973,400,8
1974,400,6
1975,365,0
1976,365,0
1977,318,5
1978,311,0
1979,288,0
1980,324,0
1981,314,0
1982,288,0
1983,260,0
1984,253,0
1985,249,0
1986,230,5
1987,229,5
1988,255,5
1989,266,5
1990,258,5
1991,239,0
1992,241,0
1993,241,0
1994,242,0
1995,176,0
1996,198,0
1997,163,0
1998,157,0
1999,197,0
2000,160,0
2001,178,0
2002,153,0
2003,137,0
2004,139,0
2005,131,0
2006,121,0
2007,111,0
2008,132,0
2009,118,0
2010,60,0
2011,63,0
2012,86,0
2013,55,0
2014,79,0
2015,61,0
2016,47,0
2017,58,0
2018,53,0
2019,47,0
