year,Girls,Boys
1880,5,0
1881,14,0
1882,13,0
1883,16,0
1884,28,0
1885,31,0
1886,28,0
1887,40,0
1888,52,0
1889,67,0
1890,80,0
1891,78,0
1892,107,0
1893,123,0
1894,164,0
1895,158,0
1896,186,7
1897,230,5
1898,262,0
1899,278,0
1900,432,0
1901,406,7
1902,498,8
1903,542,6
1904,621,6
1905,702,0
1906,718,9
1907,889,11
1908,955,10
1909,1028,8
1910,1051,15
1911,1190,15
1912,1465,20
1913,1629,22
1914,1893,25
1915,2482,28
1916,2636,36
1917,2541,31
1918,2847,39
1919,2652,25
1920,2702,31
1921,2713,30
1922,2562,31
1923,2365,26
1924,2284,25
1925,2108,23
1926,2027,23
1927,1738,21
1928,1591,27
1929,1452,18
1930,1328,13
1931,1087,17
1932,1052,17
1933,931,5
1934,893,14
1935,776,10
1936,707,13
1937,619,10
1938,579,12
1939,557,8
1940,521,0
1941,434,0
1942,447,6
1943,436,0
1944,400,5
1945,337,0
1946,330,0
1947,356,0
1948,261,0
1949,271,0
1950,206,0
1951,217,0
1952,201,0
1953,193,0
1954,170,0
1955,185,0
1956,152,0
1957,155,0
1958,113,0
1959,118,0
1960,134,0
1961,101,0
1962,99,0
1963,97,0
1964,88,0
1965,87,0
1966,72,0
1967,74,0
1968,74,0
1969,71,0
1970,65,0
1971,80,0
1972,64,0
1973,63,0
1974,73,0
1975,65,0
1976,82,0
1977,64,0
1978,70,0
1979,78,0
1980,64,0
1981,63,0
1982,56,0
1983,52,0
1984,49,0
1985,49,0
1986,55,0
1987,53,0
1988,48,0
1989,37,0
1990,36,0
1991,31,0
1992,29,0
1993,34,0
1994,29,0
1995,20,0
1996,27,0
1997,35,0
1998,39,0
1999,24,0
2000,32,0
2001,36,0
2002,38,0
2003,39,0
2004,60,0
2005,42,0
2006,79,0
2007,69,0
2008,87,0
2009,77,0
2010,82,0
2011,93,0
2012,105,0
2013,125,0
2014,183,0
2015,233,0
2016,261,0
2017,321,0
2018,336,0
2019,424,0
