year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,9
1915,9,5
1916,0,10
1917,0,10
1918,0,10
1919,0,11
1920,10,15
1921,12,14
1922,0,11
1923,7,14
1924,5,11
1925,9,13
1926,7,13
1927,8,14
1928,7,13
1929,8,12
1930,5,7
1931,8,17
1932,9,11
1933,9,9
1934,6,13
1935,7,6
1936,6,7
1937,0,16
1938,6,12
1939,18,9
1940,36,7
1941,31,10
1942,25,14
1943,23,11
1944,24,8
1945,17,10
1946,66,12
1947,52,10
1948,49,22
1949,44,9
1950,42,13
1951,78,20
1952,107,10
1953,87,13
1954,96,22
1955,104,18
1956,114,21
1957,98,21
1958,130,17
1959,132,10
1960,188,23
1961,345,18
1962,548,13
1963,510,11
1964,537,12
1965,521,16
1966,788,19
1967,788,18
1968,696,21
1969,734,20
1970,761,25
1971,594,17
1972,483,14
1973,456,16
1974,475,11
1975,419,18
1976,384,14
1977,352,15
1978,366,9
1979,389,11
1980,474,0
1981,611,13
1982,586,14
1983,587,12
1984,608,14
1985,723,12
1986,878,14
1987,1638,25
1988,1860,30
1989,2392,25
1990,4113,22
1991,4516,20
1992,5304,31
1993,5613,18
1994,5208,14
1995,5733,13
1996,5342,8
1997,5030,8
1998,4975,18
1999,4716,11
2000,4609,17
2001,4274,10
2002,5468,13
2003,5758,5
2004,5438,26
2005,4906,5
2006,4265,12
2007,3794,10
2008,3644,14
2009,3410,0
2010,3011,0
2011,2814,0
2012,2913,0
2013,2574,0
2014,2413,5
2015,2291,0
2016,2050,0
2017,1694,5
2018,1450,0
2019,1364,0
