year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,6,0
1885,5,0
1886,8,0
1887,10,0
1888,12,0
1889,17,0
1890,11,0
1891,12,0
1892,21,0
1893,28,0
1894,36,0
1895,35,0
1896,37,0
1897,49,0
1898,47,0
1899,56,0
1900,87,0
1901,68,0
1902,85,0
1903,79,0
1904,124,0
1905,121,0
1906,157,0
1907,177,0
1908,205,0
1909,233,0
1910,316,0
1911,325,0
1912,504,0
1913,588,0
1914,656,0
1915,895,0
1916,1078,0
1917,1441,6
1918,1760,5
1919,2144,8
1920,2502,7
1921,3381,10
1922,3902,8
1923,4800,0
1924,6958,18
1925,8095,23
1926,8589,29
1927,10553,38
1928,12332,32
1929,13624,43
1930,15751,52
1931,16468,46
1932,17990,45
1933,18631,76
1934,20845,68
1935,22877,86
1936,23915,100
1937,26837,98
1938,27558,107
1939,29706,110
1940,32665,140
1941,36902,154
1942,39457,159
1943,39624,146
1944,36877,115
1945,35839,99
1946,46297,111
1947,51278,120
1948,46135,95
1949,46331,103
1950,47944,84
1951,56442,128
1952,53100,104
1953,51021,127
1954,49147,101
1955,46217,91
1956,43331,102
1957,39281,91
1958,37945,106
1959,35218,87
1960,32104,70
1961,28871,77
1962,26535,80
1963,25376,72
1964,26087,84
1965,23553,65
1966,20113,81
1967,17751,64
1968,15805,69
1969,14957,65
1970,13405,71
1971,11465,51
1972,9597,48
1973,8477,52
1974,8034,48
1975,7050,29
1976,6017,35
1977,5905,32
1978,5501,34
1979,5650,38
1980,5309,39
1981,5283,27
1982,5168,44
1983,4923,31
1984,4474,32
1985,4400,34
1986,4248,39
1987,3913,38
1988,3798,43
1989,3606,47
1990,3579,39
1991,3419,18
1992,2951,11
1993,2660,18
1994,2365,11
1995,2161,8
1996,1970,8
1997,1781,6
1998,1704,6
1999,1532,5
2000,1392,5
2001,1224,0
2002,1114,0
2003,1011,5
2004,997,0
2005,879,0
2006,776,5
2007,726,0
2008,629,0
2009,565,0
2010,479,0
2011,430,0
2012,396,0
2013,419,0
2014,379,0
2015,349,0
2016,385,0
2017,308,0
2018,297,0
2019,280,0
