year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,7
1914,0,0
1915,0,5
1916,0,6
1917,0,9
1918,0,8
1919,0,0
1920,0,6
1921,0,15
1922,0,17
1923,0,18
1924,0,16
1925,0,15
1926,0,10
1927,0,20
1928,0,8
1929,0,21
1930,0,20
1931,0,17
1932,0,14
1933,0,11
1934,0,18
1935,0,12
1936,0,11
1937,0,15
1938,0,12
1939,0,10
1940,0,9
1941,0,18
1942,0,10
1943,0,11
1944,0,15
1945,0,10
1946,0,9
1947,0,13
1948,0,20
1949,0,24
1950,0,13
1951,0,15
1952,0,11
1953,0,10
1954,0,15
1955,0,16
1956,0,10
1957,0,11
1958,0,13
1959,0,7
1960,0,9
1961,0,11
1962,0,23
1963,0,18
1964,0,26
1965,0,19
1966,0,26
1967,0,29
1968,0,28
1969,0,35
1970,0,51
1971,0,72
1972,0,60
1973,0,75
1974,0,63
1975,0,67
1976,0,78
1977,0,61
1978,0,75
1979,0,84
1980,0,79
1981,0,83
1982,0,72
1983,0,65
1984,0,62
1985,0,61
1986,0,49
1987,0,57
1988,0,45
1989,0,55
1990,0,58
1991,0,77
1992,0,57
1993,0,55
1994,0,58
1995,0,81
1996,0,61
1997,0,62
1998,0,74
1999,0,66
2000,0,68
2001,0,77
2002,0,90
2003,0,87
2004,0,89
2005,0,121
2006,0,122
2007,0,90
2008,0,90
2009,0,85
2010,0,72
2011,0,91
2012,0,66
2013,0,74
2014,0,74
2015,0,67
2016,0,63
2017,0,71
2018,0,88
2019,0,68
