year,Girls,Boys
1880,0,0
1881,0,0
1882,0,7
1883,0,0
1884,0,0
1885,6,0
1886,0,5
1887,0,0
1888,0,0
1889,5,5
1890,6,0
1891,0,0
1892,9,0
1893,0,0
1894,0,0
1895,7,0
1896,6,5
1897,0,0
1898,0,0
1899,0,0
1900,9,0
1901,5,0
1902,0,0
1903,6,0
1904,6,0
1905,9,0
1906,6,0
1907,7,0
1908,8,0
1909,5,0
1910,0,0
1911,5,0
1912,15,0
1913,10,5
1914,6,0
1915,15,11
1916,10,7
1917,10,5
1918,17,8
1919,14,7
1920,15,7
1921,12,8
1922,11,8
1923,13,6
1924,19,8
1925,20,6
1926,23,8
1927,18,5
1928,17,5
1929,13,7
1930,7,9
1931,8,0
1932,16,0
1933,9,5
1934,10,6
1935,17,8
1936,8,7
1937,18,0
1938,12,0
1939,10,0
1940,23,0
1941,17,5
1942,14,0
1943,11,0
1944,7,0
1945,15,0
1946,9,0
1947,10,5
1948,11,0
1949,12,0
1950,5,0
1951,10,0
1952,9,0
1953,11,0
1954,9,0
1955,0,0
1956,10,0
1957,7,0
1958,5,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
