year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,8,0
1915,6,0
1916,5,0
1917,14,0
1918,7,0
1919,0,0
1920,9,0
1921,11,0
1922,14,0
1923,14,0
1924,10,0
1925,10,0
1926,15,0
1927,8,0
1928,19,0
1929,11,0
1930,17,0
1931,11,0
1932,6,0
1933,7,0
1934,12,0
1935,10,0
1936,6,0
1937,11,0
1938,13,0
1939,5,0
1940,14,0
1941,20,0
1942,10,0
1943,12,0
1944,8,0
1945,8,0
1946,11,0
1947,13,0
1948,24,0
1949,28,0
1950,21,0
1951,23,0
1952,26,0
1953,35,0
1954,34,0
1955,27,0
1956,24,0
1957,36,0
1958,36,0
1959,41,0
1960,32,0
1961,29,0
1962,39,0
1963,41,0
1964,54,0
1965,43,0
1966,41,0
1967,38,0
1968,42,0
1969,39,0
1970,42,0
1971,44,0
1972,31,0
1973,23,0
1974,34,0
1975,38,0
1976,39,0
1977,43,0
1978,56,0
1979,59,0
1980,55,0
1981,53,0
1982,50,0
1983,51,0
1984,51,0
1985,48,0
1986,59,0
1987,42,0
1988,53,0
1989,50,0
1990,44,0
1991,40,0
1992,44,0
1993,44,0
1994,45,0
1995,27,0
1996,31,0
1997,37,0
1998,43,0
1999,49,0
2000,38,0
2001,32,0
2002,34,0
2003,37,0
2004,31,0
2005,24,0
2006,24,0
2007,30,0
2008,27,0
2009,26,0
2010,16,0
2011,13,0
2012,22,0
2013,27,0
2014,23,0
2015,21,0
2016,15,0
2017,19,0
2018,20,0
2019,25,0
