year,F,M
1880,50,0
1881,46,0
1882,62,0
1883,66,0
1884,75,0
1885,72,0
1886,80,0
1887,63,0
1888,65,0
1889,67,0
1890,74,0
1891,84,0
1892,88,0
1893,86,0
1894,85,0
1895,90,0
1896,106,0
1897,72,0
1898,79,0
1899,84,0
1900,71,0
1901,54,0
1902,87,0
1903,68,0
1904,63,0
1905,87,0
1906,53,0
1907,82,0
1908,76,0
1909,78,0
1910,90,0
1911,87,0
1912,104,0
1913,112,0
1914,177,0
1915,198,0
1916,199,0
1917,227,0
1918,215,0
1919,193,0
1920,220,0
1921,199,0
1922,193,0
1923,194,0
1924,197,0
1925,192,0
1926,162,0
1927,169,0
1928,177,0
1929,148,0
1930,164,0
1931,143,0
1932,146,0
1933,143,0
1934,127,0
1935,127,0
1936,139,0
1937,121,0
1938,151,0
1939,143,0
1940,150,0
1941,155,0
1942,127,0
1943,128,0
1944,112,0
1945,101,0
1946,117,0
1947,127,0
1948,105,0
1949,107,0
1950,99,0
1951,109,0
1952,99,0
1953,95,0
1954,130,0
1955,120,0
1956,109,0
1957,105,0
1958,110,0
1959,116,0
1960,117,0
1961,118,0
1962,110,0
1963,106,0
1964,100,0
1965,75,0
1966,106,0
1967,137,0
1968,96,0
1969,100,0
1970,111,0
1971,113,0
1972,112,0
1973,118,0
1974,95,0
1975,112,0
1976,107,0
1977,151,0
1978,115,0
1979,100,0
1980,84,0
1981,84,0
1982,80,0
1983,92,0
1984,106,0
1985,117,0
1986,139,0
1987,109,0
1988,121,0
1989,189,0
1990,225,0
1991,233,0
1992,195,0
1993,215,0
1994,247,0
1995,396,0
1996,432,0
1997,419,0
1998,397,0
1999,527,0
2000,641,0
2001,752,0
2002,665,0
2003,689,0
2004,751,5
2005,730,0
2006,890,0
2007,988,0
2008,959,0
2009,1016,0
2010,1039,0
2011,1022,0
2012,1060,0
2013,1062,0
2014,1103,0
2015,1117,0
2016,1034,0
2017,1019,0
2018,1023,0
2019,1139,0
