year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,5
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,5
1913,0,7
1914,0,19
1915,0,15
1916,0,18
1917,0,12
1918,0,15
1919,0,9
1920,0,15
1921,0,20
1922,0,21
1923,0,23
1924,0,20
1925,0,18
1926,0,10
1927,0,14
1928,0,17
1929,0,19
1930,0,16
1931,0,16
1932,0,10
1933,0,15
1934,0,10
1935,0,20
1936,0,9
1937,0,12
1938,0,7
1939,0,5
1940,0,14
1941,0,12
1942,0,13
1943,0,15
1944,0,15
1945,0,11
1946,0,8
1947,0,11
1948,0,17
1949,0,14
1950,0,9
1951,0,16
1952,0,8
1953,0,12
1954,0,12
1955,0,7
1956,0,11
1957,0,8
1958,0,7
1959,0,0
1960,0,7
1961,0,11
1962,0,0
1963,0,7
1964,0,7
1965,0,8
1966,0,9
1967,0,17
1968,0,9
1969,0,8
1970,0,15
1971,0,7
1972,0,6
1973,0,9
1974,0,6
1975,0,23
1976,0,12
1977,0,11
1978,0,7
1979,0,11
1980,0,11
1981,0,11
1982,0,10
1983,0,0
1984,0,10
1985,0,14
1986,0,8
1987,0,6
1988,0,0
1989,0,7
1990,0,9
1991,0,12
1992,0,11
1993,0,10
1994,0,9
1995,0,9
1996,0,6
1997,0,15
1998,0,9
1999,0,15
2000,0,8
2001,0,9
2002,0,13
2003,0,11
2004,0,13
2005,0,6
2006,0,11
2007,0,0
2008,0,8
2009,0,7
2010,0,6
2011,0,0
2012,0,0
2013,0,8
2014,0,0
2015,0,5
2016,0,0
2017,0,0
2018,0,5
2019,0,0
