year,F,M
1880,0,5
1881,0,7
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,5
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,7
1892,0,0
1893,0,6
1894,0,6
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,5
1901,0,0
1902,0,0
1903,0,9
1904,0,0
1905,0,7
1906,0,5
1907,0,5
1908,0,8
1909,0,0
1910,0,9
1911,0,0
1912,0,5
1913,0,6
1914,0,11
1915,0,25
1916,0,16
1917,0,23
1918,0,21
1919,0,30
1920,0,16
1921,0,25
1922,0,23
1923,0,22
1924,0,20
1925,0,18
1926,0,15
1927,0,11
1928,0,26
1929,0,19
1930,0,23
1931,0,13
1932,0,15
1933,0,17
1934,0,21
1935,0,16
1936,0,17
1937,0,21
1938,0,17
1939,0,8
1940,0,26
1941,0,18
1942,0,21
1943,0,16
1944,0,14
1945,0,12
1946,0,24
1947,0,25
1948,0,17
1949,0,14
1950,0,27
1951,0,22
1952,0,20
1953,0,18
1954,0,19
1955,0,16
1956,0,25
1957,0,30
1958,0,10
1959,0,18
1960,0,12
1961,0,11
1962,0,18
1963,0,13
1964,0,13
1965,0,10
1966,0,6
1967,0,15
1968,0,11
1969,0,10
1970,0,13
1971,0,13
1972,0,12
1973,0,13
1974,0,8
1975,0,13
1976,0,14
1977,7,23
1978,0,18
1979,0,18
1980,0,16
1981,5,10
1982,0,11
1983,0,11
1984,0,14
1985,6,16
1986,7,19
1987,0,10
1988,12,18
1989,18,22
1990,59,15
1991,88,27
1992,133,38
1993,156,29
1994,148,41
1995,153,35
1996,162,31
1997,173,31
1998,204,42
1999,217,52
2000,291,105
2001,292,114
2002,362,132
2003,404,125
2004,507,126
2005,582,103
2006,939,120
2007,970,134
2008,989,134
2009,1207,160
2010,1204,140
2011,1394,125
2012,1535,134
2013,1629,134
2014,1742,143
2015,1726,133
2016,1604,121
2017,1532,141
2018,1494,120
2019,1470,136
