year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,5,0
1944,7,0
1945,8,9
1946,17,6
1947,22,9
1948,20,12
1949,33,8
1950,33,10
1951,32,18
1952,60,17
1953,43,20
1954,41,21
1955,40,20
1956,35,31
1957,22,25
1958,31,22
1959,36,19
1960,25,25
1961,28,19
1962,25,17
1963,32,11
1964,18,14
1965,12,14
1966,18,10
1967,16,0
1968,16,6
1969,10,8
1970,18,5
1971,15,10
1972,12,6
1973,19,0
1974,24,5
1975,27,6
1976,15,7
1977,19,0
1978,15,5
1979,24,7
1980,25,6
1981,27,6
1982,22,0
1983,31,8
1984,30,9
1985,29,0
1986,21,0
1987,35,5
1988,29,7
1989,31,7
1990,32,7
1991,24,7
1992,22,0
1993,25,6
1994,27,7
1995,30,0
1996,24,0
1997,19,0
1998,17,0
1999,19,0
2000,10,10
2001,14,5
2002,13,0
2003,13,0
2004,10,0
2005,15,0
2006,10,0
2007,8,0
2008,5,0
2009,8,0
2010,6,0
2011,0,5
2012,5,0
2013,8,0
2014,0,0
2015,7,0
2016,0,0
2017,6,0
2018,0,0
2019,5,0
