year,Boys,Girls
1880,236,0
1881,226,0
1882,259,0
1883,244,0
1884,278,0
1885,302,0
1886,355,0
1887,275,0
1888,337,0
1889,337,0
1890,374,0
1891,320,0
1892,353,0
1893,358,0
1894,399,0
1895,386,0
1896,371,0
1897,376,0
1898,376,0
1899,347,0
1900,503,0
1901,342,0
1902,382,0
1903,334,0
1904,371,0
1905,402,0
1906,397,0
1907,400,0
1908,451,0
1909,470,7
1910,519,0
1911,546,0
1912,754,0
1913,739,5
1914,890,7
1915,1169,0
1916,1132,0
1917,1215,0
1918,1243,10
1919,1267,0
1920,1269,8
1921,1272,0
1922,1296,7
1923,1274,7
1924,1358,6
1925,1204,8
1926,1144,5
1927,1260,6
1928,1121,0
1929,1085,0
1930,1114,7
1931,1089,8
1932,1191,7
1933,1072,0
1934,1161,6
1935,1208,0
1936,1201,10
1937,1209,9
1938,1575,8
1939,1796,9
1940,2555,13
1941,2924,8
1942,3241,11
1943,3268,7
1944,3247,12
1945,3331,6
1946,4840,10
1947,6332,13
1948,6795,16
1949,8776,18
1950,9427,17
1951,10931,15
1952,12225,23
1953,12962,21
1954,13212,20
1955,12394,21
1956,12171,19
1957,11483,32
1958,10409,16
1959,10473,20
1960,9969,24
1961,10234,30
1962,9407,22
1963,9391,29
1964,9473,23
1965,10212,27
1966,9777,37
1967,9821,30
1968,10228,29
1969,10951,38
1970,10855,29
1971,12190,46
1972,13252,64
1973,14871,56
1974,15168,49
1975,13926,70
1976,14491,53
1977,14194,58
1978,13799,56
1979,14548,52
1980,15281,48
1981,16738,64
1982,15727,64
1983,14716,59
1984,13345,45
1985,12702,52
1986,11789,56
1987,11630,47
1988,11870,39
1989,12434,84
1990,13675,40
1991,13297,32
1992,13111,20
1993,12320,20
1994,11280,16
1995,9906,14
1996,10627,12
1997,9631,10
1998,8420,11
1999,7430,11
2000,7071,8
2001,5888,7
2002,5215,8
2003,4867,6
2004,4462,22
2005,4011,9
2006,3564,6
2007,3214,5
2008,2915,7
2009,2467,5
2010,2293,0
2011,2115,0
2012,2014,0
2013,1801,0
2014,1780,0
2015,1723,0
2016,1577,0
2017,1428,7
2018,1451,0
2019,1246,0
