year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,5,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,5,0
1944,5,0
1945,0,0
1946,0,0
1947,0,0
1948,7,0
1949,0,0
1950,0,0
1951,10,0
1952,0,0
1953,9,0
1954,10,5
1955,0,0
1956,11,7
1957,0,0
1958,6,0
1959,8,0
1960,0,7
1961,12,8
1962,16,11
1963,11,12
1964,21,5
1965,6,0
1966,10,0
1967,42,0
1968,20,5
1969,18,0
1970,12,9
1971,15,0
1972,11,7
1973,0,0
1974,8,0
1975,9,7
1976,6,8
1977,5,0
1978,7,8
1979,5,0
1980,11,6
1981,13,0
1982,11,0
1983,0,5
1984,0,6
1985,0,7
1986,0,9
1987,7,13
1988,8,6
1989,6,0
1990,0,0
1991,0,0
1992,6,8
1993,0,5
1994,9,8
1995,5,6
1996,5,6
1997,10,6
1998,0,0
1999,0,8
2000,0,0
2001,0,6
2002,5,7
2003,0,11
2004,5,6
2005,5,7
2006,6,10
2007,5,16
2008,10,20
2009,5,21
2010,10,22
2011,8,19
2012,6,17
2013,47,55
2014,58,48
2015,84,45
2016,102,44
2017,72,49
2018,106,57
2019,84,46
