year,Boys,Girls
1880,0,728
1881,0,641
1882,0,746
1883,0,649
1884,0,749
1885,0,672
1886,8,720
1887,7,622
1888,8,772
1889,5,711
1890,0,744
1891,0,609
1892,7,802
1893,0,732
1894,0,808
1895,7,727
1896,5,834
1897,7,702
1898,13,871
1899,5,744
1900,0,1141
1901,8,784
1902,6,908
1903,6,863
1904,8,957
1905,0,1033
1906,8,1084
1907,10,1235
1908,6,1244
1909,7,1427
1910,9,1654
1911,11,2030
1912,23,4188
1913,22,5107
1914,30,6669
1915,39,9143
1916,43,10134
1917,47,10914
1918,51,12323
1919,74,12441
1920,54,15010
1921,71,16376
1922,75,17537
1923,78,18886
1924,94,21245
1925,107,23268
1926,119,25148
1927,161,26767
1928,201,28796
1929,200,29574
1930,164,32182
1931,151,31819
1932,138,31804
1933,126,31334
1934,129,33159
1935,128,33948
1936,98,33493
1937,118,32973
1938,121,34381
1939,107,35377
1940,108,37420
1941,120,39107
1942,127,43587
1943,119,46331
1944,97,45643
1945,106,46043
1946,120,58876
1947,144,58522
1948,120,50969
1949,115,50946
1950,96,51002
1951,94,54549
1952,105,58350
1953,134,58392
1954,103,57042
1955,125,53561
1956,131,52898
1957,117,52424
1958,118,49943
1959,131,47165
1960,124,43547
1961,130,41117
1962,140,39412
1963,154,40783
1964,136,40099
1965,134,36848
1966,145,34463
1967,166,33589
1968,163,32987
1969,173,31105
1970,160,30452
1971,144,26163
1972,139,22317
1973,138,19950
1974,90,18644
1975,130,17690
1976,128,16761
1977,131,17447
1978,95,16734
1979,123,16720
1980,121,16661
1981,115,16858
1982,132,16722
1983,127,15895
1984,106,15601
1985,116,15333
1986,122,15010
1987,111,14403
1988,111,14143
1989,69,14136
1990,54,13575
1991,55,12552
1992,32,11327
1993,28,10228
1994,36,9512
1995,22,8783
1996,29,8180
1997,16,7242
1998,14,6955
1999,12,6502
2000,11,6352
2001,11,5771
2002,11,5321
2003,10,5054
2004,23,4847
2005,5,4667
2006,8,4467
2007,8,4421
2008,5,4057
2009,7,3609
2010,5,3236
2011,0,3163
2012,5,3024
2013,0,2798
2014,0,2884
2015,0,2680
2016,0,2518
2017,0,2282
2018,0,2131
2019,0,1969
