year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,6
1898,0,0
1899,0,0
1900,0,0
1901,0,5
1902,0,0
1903,0,8
1904,0,8
1905,0,0
1906,0,7
1907,0,11
1908,0,16
1909,0,11
1910,0,19
1911,0,15
1912,0,41
1913,0,31
1914,0,43
1915,0,59
1916,0,63
1917,6,79
1918,0,95
1919,0,89
1920,0,148
1921,7,157
1922,7,172
1923,5,233
1924,0,241
1925,0,249
1926,8,250
1927,7,305
1928,6,312
1929,10,354
1930,7,397
1931,0,312
1932,5,267
1933,11,245
1934,0,281
1935,7,265
1936,10,263
1937,10,292
1938,8,290
1939,5,285
1940,9,309
1941,9,344
1942,6,352
1943,6,389
1944,6,414
1945,7,438
1946,7,497
1947,8,523
1948,6,601
1949,0,585
1950,9,597
1951,9,654
1952,0,691
1953,9,709
1954,7,761
1955,8,744
1956,11,750
1957,8,816
1958,12,929
1959,14,894
1960,11,948
1961,7,945
1962,15,1019
1963,6,1046
1964,14,1058
1965,17,1064
1966,12,1103
1967,10,1143
1968,16,1212
1969,10,1327
1970,14,1363
1971,8,1394
1972,14,1402
1973,11,1437
1974,16,1512
1975,14,1558
1976,12,1587
1977,22,1629
1978,18,1611
1979,15,1660
1980,21,1881
1981,14,1928
1982,8,1845
1983,11,1773
1984,11,1671
1985,11,1706
1986,18,1709
1987,18,1627
1988,24,1661
1989,15,2016
1990,18,2094
1991,15,2116
1992,13,2008
1993,19,2079
1994,11,1970
1995,11,2004
1996,8,1919
1997,8,1944
1998,7,1960
1999,8,1960
2000,6,1956
2001,7,1954
2002,0,1994
2003,7,1873
2004,0,1875
2005,0,1877
2006,5,1729
2007,9,1747
2008,0,1580
2009,0,1417
2010,0,1272
2011,0,1131
2012,0,1073
2013,0,954
2014,0,964
2015,0,926
2016,0,891
2017,0,779
2018,0,681
2019,0,629
