year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,7,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,5,0
1911,0,0
1912,7,0
1913,7,0
1914,15,0
1915,8,0
1916,11,0
1917,12,0
1918,15,0
1919,10,0
1920,12,0
1921,11,0
1922,12,0
1923,7,0
1924,12,0
1925,7,0
1926,13,0
1927,10,0
1928,16,0
1929,8,0
1930,17,0
1931,13,0
1932,16,0
1933,7,0
1934,11,0
1935,8,0
1936,7,0
1937,5,0
1938,7,0
1939,8,0
1940,7,0
1941,9,0
1942,10,0
1943,0,0
1944,10,0
1945,12,0
1946,9,0
1947,10,0
1948,7,0
1949,15,0
1950,13,0
1951,13,0
1952,11,0
1953,14,0
1954,16,0
1955,19,0
1956,15,0
1957,7,0
1958,12,0
1959,13,0
1960,18,0
1961,20,0
1962,26,0
1963,17,0
1964,21,0
1965,16,0
1966,15,0
1967,19,0
1968,17,0
1969,24,0
1970,24,0
1971,22,0
1972,23,0
1973,22,0
1974,16,0
1975,32,0
1976,21,0
1977,19,0
1978,34,0
1979,21,0
1980,28,0
1981,36,0
1982,33,0
1983,39,0
1984,33,0
1985,38,0
1986,45,0
1987,37,0
1988,44,0
1989,54,0
1990,52,0
1991,48,0
1992,53,0
1993,47,0
1994,35,0
1995,38,0
1996,40,0
1997,42,0
1998,40,0
1999,54,0
2000,32,0
2001,44,0
2002,40,0
2003,34,0
2004,30,0
2005,43,0
2006,56,0
2007,38,0
2008,49,0
2009,32,0
2010,45,0
2011,48,0
2012,58,0
2013,62,0
2014,64,0
2015,54,0
2016,54,0
2017,43,0
2018,44,0
2019,46,0
