year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,6
1935,0,0
1936,0,0
1937,5,0
1938,5,0
1939,0,6
1940,0,0
1941,0,0
1942,0,0
1943,0,5
1944,0,5
1945,0,7
1946,6,5
1947,5,5
1948,0,5
1949,5,14
1950,7,9
1951,0,7
1952,0,13
1953,7,8
1954,8,8
1955,7,10
1956,13,8
1957,0,14
1958,8,10
1959,8,7
1960,6,28
1961,7,16
1962,7,17
1963,11,12
1964,10,12
1965,7,15
1966,12,19
1967,8,13
1968,15,16
1969,13,13
1970,15,24
1971,10,33
1972,10,28
1973,7,33
1974,7,31
1975,11,27
1976,13,48
1977,8,40
1978,9,32
1979,6,34
1980,8,28
1981,0,36
1982,5,37
1983,10,33
1984,5,45
1985,0,15
1986,0,30
1987,5,26
1988,0,28
1989,7,40
1990,0,44
1991,0,40
1992,5,45
1993,0,21
1994,0,27
1995,0,21
1996,0,18
1997,0,22
1998,0,27
1999,5,14
2000,0,20
2001,0,21
2002,0,23
2003,0,22
2004,0,21
2005,0,25
2006,0,13
2007,0,23
2008,0,18
2009,0,22
2010,0,18
2011,0,16
2012,0,16
2013,0,10
2014,0,14
2015,0,11
2016,0,15
2017,0,6
2018,0,15
2019,0,10
