year,Boys,Girls
1880,507,0
1881,500,0
1882,542,0
1883,507,0
1884,607,0
1885,623,0
1886,673,0
1887,659,5
1888,832,0
1889,707,0
1890,770,0
1891,729,0
1892,796,5
1893,790,5
1894,780,0
1895,832,0
1896,808,7
1897,770,0
1898,841,0
1899,765,6
1900,1118,5
1901,845,5
1902,909,0
1903,911,6
1904,903,0
1905,922,0
1906,865,5
1907,924,0
1908,941,0
1909,959,0
1910,1131,6
1911,1022,6
1912,1305,7
1913,1366,7
1914,1514,8
1915,1793,10
1916,1793,8
1917,1829,8
1918,2034,11
1919,2189,17
1920,2199,17
1921,1977,16
1922,2107,10
1923,2051,16
1924,2148,15
1925,2230,15
1926,2114,18
1927,2109,16
1928,1971,19
1929,1886,24
1930,1878,22
1931,1632,14
1932,1756,14
1933,1647,25
1934,1582,14
1935,1598,15
1936,1452,20
1937,1441,17
1938,1568,17
1939,1493,13
1940,1551,10
1941,1475,15
1942,1572,9
1943,1680,14
1944,1671,12
1945,1575,7
1946,1622,14
1947,1800,12
1948,1926,13
1949,1923,18
1950,1886,7
1951,1955,11
1952,1942,13
1953,2025,16
1954,2108,9
1955,2047,10
1956,2174,12
1957,2080,17
1958,1864,13
1959,1795,10
1960,1830,9
1961,1646,9
1962,1609,11
1963,1513,10
1964,1516,12
1965,1407,10
1966,1398,9
1967,1325,11
1968,1345,6
1969,1440,14
1970,1424,14
1971,1374,10
1972,1289,19
1973,1260,10
1974,1250,10
1975,1207,7
1976,1158,13
1977,1091,8
1978,1073,8
1979,1152,10
1980,1267,10
1981,1225,15
1982,1204,19
1983,1047,14
1984,978,14
1985,1011,16
1986,969,18
1987,969,11
1988,978,15
1989,1138,13
1990,1175,16
1991,1149,11
1992,1172,13
1993,1255,5
1994,1254,12
1995,1008,9
1996,992,5
1997,967,5
1998,1123,0
1999,983,6
2000,1003,5
2001,935,0
2002,874,5
2003,786,10
2004,734,0
2005,775,0
2006,812,0
2007,741,0
2008,696,0
2009,624,0
2010,516,0
2011,466,0
2012,468,0
2013,435,0
2014,477,0
2015,454,0
2016,463,0
2017,440,0
2018,464,0
2019,446,0
