year,Boys,Girls
1880,0,0
1881,5,0
1882,7,0
1883,0,0
1884,7,0
1885,7,0
1886,10,0
1887,0,0
1888,5,0
1889,0,0
1890,6,0
1891,5,0
1892,0,0
1893,5,0
1894,10,0
1895,7,0
1896,9,0
1897,13,0
1898,12,0
1899,7,0
1900,7,0
1901,10,0
1902,10,0
1903,10,0
1904,8,0
1905,10,0
1906,11,0
1907,16,0
1908,11,0
1909,5,0
1910,11,0
1911,19,0
1912,23,0
1913,21,0
1914,17,0
1915,24,0
1916,33,0
1917,23,0
1918,28,0
1919,29,0
1920,25,0
1921,23,0
1922,29,0
1923,43,0
1924,38,0
1925,24,0
1926,23,0
1927,23,0
1928,17,0
1929,18,0
1930,19,0
1931,19,0
1932,30,0
1933,15,0
1934,17,0
1935,16,0
1936,14,0
1937,10,0
1938,14,0
1939,17,0
1940,13,0
1941,18,0
1942,20,0
1943,15,0
1944,13,0
1945,7,0
1946,9,0
1947,12,0
1948,18,0
1949,15,0
1950,14,0
1951,17,0
1952,19,0
1953,20,0
1954,19,0
1955,13,0
1956,14,0
1957,17,0
1958,12,0
1959,14,0
1960,10,0
1961,18,0
1962,15,0
1963,8,0
1964,15,0
1965,6,0
1966,10,0
1967,7,0
1968,8,0
1969,7,0
1970,0,0
1971,8,0
1972,9,0
1973,0,0
1974,0,0
1975,0,0
1976,5,0
1977,0,0
1978,0,0
1979,0,0
1980,7,0
1981,10,0
1982,7,0
1983,5,0
1984,0,0
1985,5,0
1986,8,0
1987,0,0
1988,7,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,6,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,5,0
2000,0,0
2001,0,0
2002,0,0
2003,6,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
