year,Boys,Girls
1880,0,69
1881,0,82
1882,0,96
1883,0,88
1884,0,110
1885,0,109
1886,0,107
1887,0,85
1888,0,90
1889,0,115
1890,0,101
1891,5,86
1892,0,90
1893,0,76
1894,0,110
1895,0,73
1896,0,83
1897,0,62
1898,0,75
1899,0,95
1900,0,83
1901,0,72
1902,0,90
1903,0,67
1904,0,73
1905,0,74
1906,0,88
1907,0,76
1908,0,99
1909,0,81
1910,0,103
1911,0,140
1912,0,240
1913,5,300
1914,6,360
1915,0,451
1916,6,457
1917,9,503
1918,8,569
1919,13,569
1920,0,548
1921,11,514
1922,8,576
1923,6,575
1924,7,588
1925,9,559
1926,7,530
1927,0,453
1928,5,483
1929,0,414
1930,0,499
1931,7,453
1932,0,423
1933,0,415
1934,5,442
1935,0,427
1936,6,475
1937,0,465
1938,6,479
1939,5,480
1940,0,458
1941,5,513
1942,0,556
1943,0,584
1944,7,564
1945,5,555
1946,0,650
1947,0,789
1948,0,720
1949,0,763
1950,5,769
1951,5,883
1952,0,908
1953,0,921
1954,0,998
1955,0,1029
1956,0,991
1957,5,954
1958,8,1033
1959,0,1027
1960,6,1043
1961,0,1021
1962,7,1137
1963,13,1127
1964,0,1023
1965,0,987
1966,0,917
1967,0,797
1968,0,845
1969,7,885
1970,0,881
1971,6,858
1972,0,709
1973,11,715
1974,7,674
1975,6,678
1976,0,680
1977,0,823
1978,5,919
1979,11,1002
1980,5,1040
1981,0,1241
1982,14,1465
1983,11,1344
1984,14,1745
1985,14,1886
1986,16,1774
1987,7,1666
1988,15,1770
1989,10,1787
1990,9,1618
1991,6,1446
1992,0,1277
1993,0,942
1994,0,838
1995,0,1047
1996,0,1041
1997,0,796
1998,0,789
1999,5,667
2000,5,561
2001,0,502
2002,0,425
2003,6,377
2004,6,351
2005,0,313
2006,0,283
2007,0,261
2008,0,258
2009,0,227
2010,0,218
2011,0,214
2012,0,212
2013,0,194
2014,0,185
2015,8,159
2016,0,191
2017,6,162
2018,0,175
2019,0,132
