year,F,M
1880,62,0
1881,72,0
1882,72,0
1883,75,0
1884,100,0
1885,88,0
1886,92,0
1887,111,0
1888,136,0
1889,125,0
1890,135,0
1891,120,0
1892,148,0
1893,127,0
1894,127,0
1895,141,0
1896,132,0
1897,144,0
1898,171,0
1899,151,0
1900,208,0
1901,179,0
1902,170,0
1903,163,0
1904,153,0
1905,174,0
1906,165,0
1907,178,0
1908,162,0
1909,159,0
1910,169,0
1911,168,5
1912,204,0
1913,212,0
1914,237,9
1915,301,0
1916,277,6
1917,265,5
1918,309,10
1919,305,8
1920,282,6
1921,257,7
1922,278,11
1923,211,5
1924,278,10
1925,260,7
1926,217,0
1927,178,8
1928,197,6
1929,160,6
1930,183,0
1931,178,0
1932,190,0
1933,166,6
1934,195,0
1935,163,0
1936,159,6
1937,169,0
1938,164,0
1939,183,6
1940,184,11
1941,161,13
1942,204,6
1943,214,0
1944,204,0
1945,186,5
1946,199,7
1947,213,0
1948,208,0
1949,213,0
1950,209,0
1951,234,9
1952,237,0
1953,242,0
1954,269,8
1955,247,8
1956,259,0
1957,194,0
1958,149,0
1959,188,0
1960,147,5
1961,170,0
1962,143,0
1963,129,0
1964,129,0
1965,117,0
1966,76,0
1967,74,0
1968,89,0
1969,82,0
1970,77,0
1971,67,0
1972,49,0
1973,46,0
1974,57,0
1975,52,0
1976,42,0
1977,48,0
1978,49,0
1979,57,0
1980,50,0
1981,50,0
1982,36,0
1983,35,0
1984,47,0
1985,50,0
1986,53,0
1987,50,0
1988,69,0
1989,44,0
1990,49,0
1991,39,0
1992,22,0
1993,33,0
1994,20,0
1995,14,0
1996,26,0
1997,26,0
1998,14,0
1999,13,0
2000,14,0
2001,24,0
2002,27,0
2003,27,0
2004,27,0
2005,38,0
2006,36,0
2007,64,0
2008,60,0
2009,48,0
2010,59,0
2011,90,0
2012,70,0
2013,70,0
2014,54,0
2015,56,0
2016,51,0
2017,45,0
2018,54,0
2019,46,0
