year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,5,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,5,0
1913,10,0
1914,11,0
1915,15,0
1916,16,0
1917,16,0
1918,21,0
1919,16,0
1920,13,0
1921,19,0
1922,14,0
1923,21,0
1924,9,0
1925,17,0
1926,12,0
1927,10,0
1928,20,0
1929,16,0
1930,10,0
1931,8,0
1932,12,0
1933,8,0
1934,12,0
1935,14,0
1936,16,0
1937,8,0
1938,11,0
1939,13,0
1940,5,0
1941,9,0
1942,17,0
1943,16,0
1944,12,0
1945,8,0
1946,10,0
1947,11,0
1948,15,0
1949,17,0
1950,9,0
1951,10,0
1952,14,0
1953,11,0
1954,8,0
1955,13,0
1956,0,0
1957,9,0
1958,7,0
1959,6,0
1960,0,0
1961,8,0
1962,0,0
1963,7,0
1964,6,0
1965,8,0
1966,6,0
1967,9,0
1968,8,0
1969,0,0
1970,13,0
1971,10,0
1972,0,0
1973,5,0
1974,13,0
1975,8,0
1976,7,0
1977,6,0
1978,5,0
1979,6,0
1980,10,0
1981,0,0
1982,10,0
1983,0,0
1984,5,0
1985,0,0
1986,6,0
1987,8,0
1988,0,0
1989,0,0
1990,0,0
1991,9,0
1992,6,0
1993,5,0
1994,5,0
1995,7,0
1996,0,0
1997,0,0
1998,0,0
1999,6,0
2000,7,0
2001,0,0
2002,0,0
2003,0,0
2004,8,0
2005,6,0
2006,6,0
2007,0,0
2008,0,0
2009,8,0
2010,0,0
2011,5,0
2012,6,0
2013,8,0
2014,7,0
2015,0,0
2016,6,0
2017,9,0
2018,5,0
2019,5,0
