year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,10
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,6
1912,0,0
1913,0,7
1914,0,9
1915,0,0
1916,0,7
1917,0,8
1918,0,12
1919,0,6
1920,0,12
1921,0,17
1922,0,8
1923,0,10
1924,0,7
1925,0,14
1926,0,14
1927,0,9
1928,0,14
1929,0,6
1930,0,14
1931,0,15
1932,0,14
1933,0,11
1934,0,13
1935,0,11
1936,0,13
1937,0,14
1938,0,8
1939,0,21
1940,0,18
1941,0,13
1942,0,26
1943,0,34
1944,0,23
1945,0,35
1946,0,65
1947,0,102
1948,0,82
1949,0,102
1950,0,99
1951,0,105
1952,0,126
1953,0,146
1954,0,132
1955,0,178
1956,0,191
1957,0,277
1958,0,310
1959,7,400
1960,5,381
1961,0,389
1962,0,398
1963,0,646
1964,5,517
1965,6,1086
1966,17,1573
1967,15,1928
1968,14,2170
1969,16,2250
1970,24,2329
1971,45,6188
1972,56,8892
1973,83,10512
1974,126,13193
1975,139,15301
1976,163,17497
1977,362,21260
1978,580,21337
1979,558,23221
1980,602,24810
1981,675,26825
1982,596,26703
1983,609,27850
1984,543,28733
1985,570,29907
1986,703,29519
1987,698,28488
1988,615,27739
1989,566,28413
1990,451,29250
1991,431,27530
1992,377,27011
1993,350,26726
1994,360,24054
1995,355,23086
1996,382,21808
1997,360,20527
1998,477,20195
1999,454,21013
2000,448,20264
2001,465,18288
2002,518,17660
2003,598,19576
2004,700,19494
2005,676,17985
2006,689,16428
2007,706,15718
2008,574,14682
2009,527,13110
2010,464,11972
2011,506,11497
2012,467,10942
2013,438,9881
2014,606,9086
2015,679,8532
2016,688,8247
2017,773,7686
2018,864,6924
2019,772,6087
