year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,6
1908,0,0
1909,0,0
1910,0,0
1911,0,8
1912,0,9
1913,0,17
1914,0,16
1915,0,22
1916,0,18
1917,0,21
1918,0,25
1919,0,19
1920,0,27
1921,0,21
1922,0,21
1923,0,31
1924,0,35
1925,0,27
1926,0,25
1927,0,19
1928,0,21
1929,0,19
1930,0,27
1931,0,20
1932,0,22
1933,0,21
1934,0,17
1935,0,13
1936,0,21
1937,0,14
1938,0,7
1939,0,12
1940,0,8
1941,0,11
1942,0,18
1943,0,17
1944,0,20
1945,0,11
1946,0,11
1947,0,17
1948,0,16
1949,0,10
1950,0,13
1951,0,10
1952,0,13
1953,0,10
1954,0,16
1955,0,10
1956,0,17
1957,0,12
1958,0,16
1959,0,18
1960,0,9
1961,0,20
1962,0,21
1963,0,16
1964,0,20
1965,0,11
1966,0,12
1967,0,15
1968,0,15
1969,0,17
1970,0,16
1971,0,5
1972,0,9
1973,0,14
1974,0,14
1975,0,5
1976,0,10
1977,0,11
1978,0,10
1979,0,9
1980,0,16
1981,0,7
1982,0,10
1983,0,8
1984,0,14
1985,0,7
1986,0,0
1987,0,10
1988,0,10
1989,0,7
1990,0,7
1991,0,6
1992,0,10
1993,0,0
1994,0,10
1995,0,5
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,9
2001,0,7
2002,0,7
2003,0,6
2004,0,6
2005,0,0
2006,0,5
2007,0,0
2008,0,0
2009,0,8
2010,0,0
2011,0,7
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
