year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,7
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,5
1930,0,0
1931,0,0
1932,0,7
1933,0,7
1934,0,0
1935,0,7
1936,0,0
1937,0,7
1938,0,6
1939,0,0
1940,0,0
1941,0,0
1942,0,7
1943,0,9
1944,0,0
1945,0,10
1946,0,11
1947,0,5
1948,0,0
1949,0,9
1950,0,6
1951,0,8
1952,0,13
1953,0,12
1954,0,6
1955,0,6
1956,0,8
1957,0,16
1958,0,9
1959,0,9
1960,0,14
1961,0,22
1962,0,13
1963,0,20
1964,0,14
1965,0,13
1966,0,22
1967,0,10
1968,0,20
1969,0,21
1970,0,29
1971,0,22
1972,0,14
1973,0,16
1974,0,21
1975,0,13
1976,0,14
1977,0,17
1978,0,11
1979,0,10
1980,0,10
1981,0,17
1982,0,6
1983,0,11
1984,0,12
1985,0,11
1986,0,10
1987,0,13
1988,0,7
1989,0,8
1990,0,12
1991,0,12
1992,0,9
1993,0,13
1994,0,8
1995,0,6
1996,0,6
1997,0,8
1998,0,8
1999,0,18
2000,0,5
2001,0,9
2002,0,0
2003,0,13
2004,0,6
2005,0,12
2006,0,11
2007,0,8
2008,0,12
2009,0,6
2010,0,8
2011,0,5
2012,0,7
2013,0,10
2014,0,5
2015,0,10
2016,0,11
2017,0,8
2018,0,10
2019,0,11
