year,Girls,Boys
1880,0,30
1881,0,28
1882,0,33
1883,0,22
1884,0,32
1885,0,22
1886,0,16
1887,0,22
1888,0,22
1889,0,25
1890,0,13
1891,0,27
1892,0,26
1893,0,20
1894,0,27
1895,0,23
1896,0,25
1897,0,25
1898,0,28
1899,0,26
1900,0,21
1901,0,26
1902,0,28
1903,0,22
1904,0,32
1905,0,31
1906,0,33
1907,0,29
1908,0,36
1909,0,36
1910,0,48
1911,0,49
1912,0,92
1913,0,107
1914,0,132
1915,0,226
1916,0,215
1917,0,185
1918,0,222
1919,0,246
1920,0,216
1921,0,250
1922,0,273
1923,0,256
1924,0,265
1925,0,273
1926,0,270
1927,0,281
1928,0,295
1929,0,315
1930,0,275
1931,0,287
1932,0,260
1933,0,231
1934,0,267
1935,0,224
1936,0,227
1937,0,227
1938,0,256
1939,0,220
1940,0,240
1941,0,253
1942,0,273
1943,0,285
1944,0,226
1945,0,185
1946,0,298
1947,0,293
1948,0,277
1949,0,257
1950,0,248
1951,0,226
1952,0,238
1953,0,227
1954,0,222
1955,0,221
1956,0,204
1957,0,164
1958,0,198
1959,0,157
1960,0,169
1961,0,176
1962,0,158
1963,0,140
1964,0,141
1965,0,101
1966,0,130
1967,0,132
1968,0,125
1969,0,109
1970,0,97
1971,0,113
1972,0,77
1973,0,80
1974,0,56
1975,0,44
1976,0,46
1977,0,43
1978,0,41
1979,0,29
1980,0,43
1981,0,30
1982,0,50
1983,0,45
1984,0,25
1985,0,27
1986,0,32
1987,0,27
1988,0,28
1989,0,32
1990,0,32
1991,0,28
1992,0,23
1993,0,18
1994,0,20
1995,0,16
1996,0,14
1997,0,17
1998,0,16
1999,0,15
2000,0,18
2001,0,13
2002,0,14
2003,0,10
2004,0,14
2005,0,14
2006,0,12
2007,0,11
2008,0,16
2009,0,9
2010,0,9
2011,0,6
2012,0,14
2013,0,7
2014,0,12
2015,0,13
2016,0,13
2017,0,11
2018,0,15
2019,0,18
