year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,8,0
1941,12,0
1942,12,0
1943,11,0
1944,5,0
1945,6,0
1946,6,0
1947,5,0
1948,6,0
1949,11,0
1950,6,0
1951,0,0
1952,0,0
1953,0,0
1954,10,0
1955,8,0
1956,11,0
1957,8,0
1958,7,0
1959,8,0
1960,8,0
1961,21,0
1962,16,0
1963,12,0
1964,14,0
1965,19,0
1966,15,0
1967,5,0
1968,22,0
1969,10,0
1970,19,0
1971,7,0
1972,13,0
1973,10,0
1974,6,0
1975,0,0
1976,6,0
1977,8,0
1978,0,0
1979,7,0
1980,7,0
1981,0,0
1982,7,0
1983,9,0
1984,7,0
1985,9,0
1986,15,0
1987,16,0
1988,13,0
1989,16,0
1990,0,0
1991,16,0
1992,12,0
1993,18,0
1994,17,0
1995,14,0
1996,9,0
1997,22,0
1998,17,0
1999,19,0
2000,14,0
2001,31,0
2002,25,0
2003,22,0
2004,41,0
2005,49,0
2006,76,0
2007,109,0
2008,110,0
2009,114,0
2010,208,0
2011,252,0
2012,268,0
2013,294,0
2014,287,0
2015,362,0
2016,415,0
2017,340,0
2018,327,0
2019,304,0
