year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,8,0
1919,0,0
1920,0,0
1921,9,0
1922,0,0
1923,11,0
1924,8,0
1925,7,0
1926,10,0
1927,9,0
1928,9,0
1929,11,0
1930,9,0
1931,6,0
1932,0,0
1933,6,0
1934,7,0
1935,0,0
1936,7,0
1937,6,0
1938,9,0
1939,9,0
1940,10,0
1941,6,0
1942,7,0
1943,5,0
1944,9,0
1945,9,0
1946,11,0
1947,6,0
1948,8,0
1949,8,0
1950,6,0
1951,6,0
1952,13,0
1953,6,0
1954,7,0
1955,9,0
1956,7,0
1957,0,0
1958,6,0
1959,7,0
1960,8,0
1961,5,0
1962,0,0
1963,8,0
1964,10,0
1965,0,0
1966,7,0
1967,0,0
1968,9,0
1969,7,0
1970,6,0
1971,7,0
1972,0,0
1973,7,0
1974,9,0
1975,0,0
1976,10,0
1977,8,0
1978,7,0
1979,9,0
1980,12,0
1981,7,0
1982,7,0
1983,7,0
1984,8,0
1985,9,0
1986,9,0
1987,11,0
1988,11,0
1989,16,0
1990,17,0
1991,5,0
1992,8,0
1993,6,0
1994,10,0
1995,13,0
1996,8,0
1997,11,0
1998,11,0
1999,5,0
2000,11,0
2001,10,0
2002,12,0
2003,10,0
2004,10,0
2005,11,0
2006,14,0
2007,13,0
2008,8,0
2009,7,0
2010,6,0
2011,0,0
2012,5,0
2013,7,0
2014,6,0
2015,9,0
2016,12,0
2017,9,0
2018,0,0
2019,8,0
