year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,5,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,5,0
1949,8,0
1950,19,0
1951,18,0
1952,16,0
1953,13,0
1954,19,0
1955,26,0
1956,41,0
1957,35,0
1958,31,0
1959,25,0
1960,35,0
1961,54,0
1962,33,0
1963,42,0
1964,46,0
1965,49,0
1966,47,0
1967,45,0
1968,48,0
1969,52,9
1970,68,7
1971,79,0
1972,83,6
1973,73,6
1974,69,10
1975,68,8
1976,89,5
1977,59,8
1978,64,7
1979,60,6
1980,47,5
1981,45,0
1982,48,0
1983,36,0
1984,37,0
1985,45,0
1986,59,7
1987,63,0
1988,58,0
1989,66,0
1990,168,0
1991,155,0
1992,228,5
1993,176,6
1994,124,0
1995,119,8
1996,134,5
1997,116,0
1998,122,0
1999,85,6
2000,73,6
2001,66,0
2002,55,0
2003,43,0
2004,29,0
2005,28,0
2006,32,0
2007,35,0
2008,25,0
2009,22,0
2010,13,0
2011,17,0
2012,7,0
2013,15,0
2014,12,0
2015,8,0
2016,11,0
2017,11,0
2018,6,0
2019,16,0
