year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,9
1951,0,0
1952,0,0
1953,0,6
1954,0,9
1955,0,10
1956,5,8
1957,8,12
1958,10,9
1959,5,23
1960,9,31
1961,18,34
1962,10,25
1963,9,43
1964,17,58
1965,16,82
1966,21,92
1967,19,139
1968,29,196
1969,21,242
1970,21,281
1971,28,301
1972,18,253
1973,18,256
1974,12,257
1975,19,213
1976,12,146
1977,10,155
1978,0,106
1979,0,82
1980,6,78
1981,5,78
1982,0,69
1983,0,65
1984,0,56
1985,0,54
1986,0,71
1987,0,69
1988,0,67
1989,0,84
1990,0,79
1991,0,88
1992,0,69
1993,7,76
1994,0,82
1995,0,71
1996,5,68
1997,0,55
1998,0,44
1999,0,53
2000,0,44
2001,0,47
2002,0,47
2003,0,45
2004,0,55
2005,0,48
2006,0,46
2007,0,34
2008,0,28
2009,0,30
2010,0,26
2011,0,24
2012,0,23
2013,0,16
2014,0,24
2015,0,16
2016,0,15
2017,0,20
2018,0,24
2019,0,19
