year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,5,0
1909,5,0
1910,8,0
1911,15,0
1912,17,0
1913,26,5
1914,22,0
1915,29,0
1916,34,7
1917,30,6
1918,37,0
1919,32,0
1920,44,6
1921,35,0
1922,53,7
1923,39,9
1924,43,0
1925,40,5
1926,38,0
1927,32,0
1928,46,5
1929,29,0
1930,17,5
1931,23,6
1932,23,0
1933,23,0
1934,15,0
1935,17,0
1936,40,0
1937,99,0
1938,74,10
1939,51,0
1940,64,5
1941,59,0
1942,59,0
1943,49,0
1944,38,0
1945,43,0
1946,55,0
1947,54,0
1948,67,0
1949,44,8
1950,51,0
1951,61,0
1952,61,0
1953,50,0
1954,44,0
1955,52,0
1956,60,0
1957,59,0
1958,39,0
1959,105,0
1960,257,5
1961,282,10
1962,216,0
1963,202,0
1964,248,0
1965,224,0
1966,305,0
1967,265,7
1968,267,5
1969,272,0
1970,258,13
1971,240,12
1972,217,11
1973,214,10
1974,182,10
1975,189,5
1976,184,9
1977,188,11
1978,247,9
1979,219,12
1980,226,7
1981,411,7
1982,277,6
1983,269,7
1984,261,10
1985,225,9
1986,260,12
1987,414,10
1988,797,10
1989,732,20
1990,767,10
1991,691,16
1992,623,8
1993,559,11
1994,512,12
1995,544,8
1996,571,9
1997,550,6
1998,571,7
1999,444,0
2000,447,11
2001,506,15
2002,503,0
2003,515,5
2004,616,7
2005,522,10
2006,528,11
2007,592,8
2008,562,0
2009,489,6
2010,431,0
2011,444,5
2012,434,5
2013,426,0
2014,389,8
2015,340,8
2016,381,9
2017,375,0
2018,385,12
2019,397,5
