year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,5,0
1910,7,0
1911,6,0
1912,6,0
1913,10,0
1914,10,0
1915,17,0
1916,22,0
1917,15,0
1918,21,0
1919,16,0
1920,21,0
1921,21,0
1922,18,0
1923,18,0
1924,11,0
1925,21,0
1926,18,0
1927,15,0
1928,11,0
1929,12,0
1930,18,0
1931,9,0
1932,15,0
1933,9,0
1934,5,0
1935,5,0
1936,16,0
1937,12,0
1938,7,0
1939,20,0
1940,13,0
1941,8,0
1942,14,0
1943,7,0
1944,8,0
1945,6,0
1946,10,0
1947,0,0
1948,9,0
1949,7,0
1950,7,0
1951,6,0
1952,0,0
1953,5,0
1954,5,0
1955,5,0
1956,5,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,15,0
1963,0,0
1964,0,0
1965,5,0
1966,0,0
1967,6,0
1968,5,0
1969,0,0
1970,7,0
1971,6,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,7,0
1979,0,0
1980,5,0
1981,0,0
1982,0,0
1983,5,0
1984,0,0
1985,0,0
1986,0,0
1987,8,0
1988,13,0
1989,17,0
1990,13,0
1991,19,0
1992,19,0
1993,7,0
1994,14,0
1995,7,0
1996,11,0
1997,10,0
1998,8,0
1999,10,0
2000,8,0
2001,5,0
2002,9,0
2003,6,0
2004,0,0
2005,0,0
2006,5,0
2007,15,0
2008,8,0
2009,0,0
2010,0,0
2011,6,0
2012,6,0
2013,11,0
2014,6,0
2015,6,0
2016,8,0
2017,9,0
2018,5,0
2019,8,0
