year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,5
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,6
1912,0,5
1913,0,0
1914,0,9
1915,0,13
1916,0,5
1917,0,5
1918,0,10
1919,0,9
1920,0,11
1921,0,6
1922,0,6
1923,0,8
1924,0,5
1925,0,7
1926,0,6
1927,0,0
1928,0,0
1929,0,9
1930,0,5
1931,0,0
1932,0,0
1933,0,0
1934,0,6
1935,0,8
1936,0,5
1937,0,0
1938,0,0
1939,0,8
1940,0,8
1941,0,6
1942,0,5
1943,0,7
1944,0,0
1945,0,0
1946,0,0
1947,0,9
1948,0,7
1949,0,0
1950,0,8
1951,0,6
1952,0,10
1953,6,9
1954,0,5
1955,5,0
1956,6,0
1957,0,0
1958,14,0
1959,7,5
1960,0,8
1961,5,0
1962,6,5
1963,26,11
1964,23,11
1965,23,10
1966,21,15
1967,12,10
1968,18,11
1969,12,25
1970,29,27
1971,19,15
1972,11,16
1973,23,26
1974,14,32
1975,10,17
1976,7,8
1977,5,21
1978,6,15
1979,7,14
1980,0,23
1981,12,21
1982,13,18
1983,12,15
1984,19,24
1985,14,28
1986,23,27
1987,23,32
1988,29,29
1989,39,34
1990,45,29
1991,45,29
1992,54,34
1993,55,35
1994,53,48
1995,54,41
1996,62,52
1997,49,51
1998,87,38
1999,78,54
2000,75,46
2001,76,42
2002,80,43
2003,78,48
2004,74,49
2005,56,41
2006,85,44
2007,115,50
2008,122,54
2009,147,59
2010,249,72
2011,291,73
2012,257,74
2013,297,66
2014,337,73
2015,405,56
2016,517,74
2017,497,91
2018,520,86
2019,478,78
