year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,5,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,5,0
1915,11,0
1916,13,0
1917,5,0
1918,9,0
1919,0,0
1920,9,0
1921,7,0
1922,7,0
1923,0,0
1924,8,0
1925,0,0
1926,0,0
1927,0,0
1928,6,0
1929,6,0
1930,0,0
1931,5,0
1932,8,0
1933,5,0
1934,6,0
1935,6,0
1936,6,0
1937,11,0
1938,0,0
1939,0,0
1940,10,0
1941,12,0
1942,8,0
1943,7,0
1944,0,0
1945,7,0
1946,5,0
1947,12,0
1948,11,0
1949,9,0
1950,8,0
1951,0,0
1952,12,0
1953,10,0
1954,10,0
1955,9,0
1956,11,0
1957,14,0
1958,15,0
1959,8,0
1960,10,0
1961,10,0
1962,12,0
1963,12,0
1964,8,0
1965,8,0
1966,5,0
1967,8,0
1968,20,0
1969,41,0
1970,47,0
1971,30,0
1972,24,0
1973,17,0
1974,13,0
1975,8,0
1976,10,0
1977,13,0
1978,11,0
1979,14,0
1980,14,0
1981,17,0
1982,10,0
1983,12,0
1984,10,0
1985,8,0
1986,17,0
1987,14,0
1988,18,0
1989,16,0
1990,21,0
1991,9,0
1992,16,0
1993,6,0
1994,12,0
1995,9,0
1996,8,0
1997,14,0
1998,11,0
1999,12,0
2000,14,0
2001,17,0
2002,19,0
2003,11,0
2004,11,0
2005,20,0
2006,13,0
2007,11,0
2008,0,0
2009,9,0
2010,9,0
2011,10,0
2012,7,0
2013,9,0
2014,0,0
2015,7,0
2016,9,0
2017,6,0
2018,0,0
2019,7,0
