year,Boys,Girls
1880,0,65
1881,0,76
1882,0,76
1883,0,68
1884,0,105
1885,0,97
1886,0,95
1887,0,110
1888,0,154
1889,0,151
1890,0,223
1891,0,178
1892,0,181
1893,0,212
1894,0,218
1895,0,233
1896,0,259
1897,0,240
1898,0,295
1899,0,258
1900,7,342
1901,0,239
1902,0,334
1903,5,361
1904,5,371
1905,0,384
1906,0,455
1907,5,516
1908,0,547
1909,7,607
1910,5,761
1911,6,997
1912,0,2017
1913,13,2595
1914,8,3559
1915,17,4807
1916,19,5130
1917,19,5186
1918,28,5618
1919,25,5238
1920,19,5314
1921,28,5232
1922,15,5045
1923,25,5035
1924,29,5187
1925,25,5030
1926,40,4963
1927,47,4905
1928,36,4479
1929,40,4266
1930,32,4384
1931,27,4200
1932,33,3759
1933,24,3432
1934,15,3568
1935,11,3697
1936,19,3492
1937,9,3483
1938,10,3543
1939,11,3571
1940,10,3693
1941,19,3926
1942,22,4587
1943,36,4698
1944,25,4122
1945,15,4059
1946,17,4769
1947,14,5500
1948,14,5383
1949,19,5528
1950,13,5451
1951,18,6204
1952,16,6226
1953,21,6275
1954,24,6446
1955,19,6048
1956,19,5978
1957,26,5264
1958,21,4915
1959,25,4335
1960,20,4217
1961,29,3922
1962,21,3634
1963,14,3539
1964,12,3134
1965,14,2814
1966,17,2442
1967,22,2245
1968,16,2146
1969,15,1903
1970,15,1953
1971,9,1769
1972,14,1476
1973,13,1357
1974,10,1146
1975,12,1169
1976,9,1150
1977,12,1114
1978,7,1026
1979,7,1066
1980,11,1095
1981,13,1016
1982,5,1000
1983,12,908
1984,7,884
1985,5,922
1986,5,871
1987,7,819
1988,13,828
1989,8,869
1990,6,808
1991,0,776
1992,0,695
1993,0,637
1994,0,607
1995,0,562
1996,0,531
1997,0,525
1998,0,473
1999,0,508
2000,0,453
2001,0,443
2002,0,472
2003,0,405
2004,0,413
2005,0,410
2006,0,404
2007,0,398
2008,0,370
2009,0,359
2010,0,347
2011,0,348
2012,0,315
2013,0,355
2014,0,372
2015,0,365
2016,0,366
2017,0,350
2018,0,342
2019,0,375
